2024-12-26 14:18:07,386 - INFO - Episode 3601/300000, Reward: 6.0, Loss: 0.0014, Epsilon: 0.942, end at: 46, eps/sec: 13.73, ETR: 359.80 min
2024-12-26 14:18:15,771 - INFO - Episode 3701/300000, Reward: 6.0, Loss: 0.0015, Epsilon: 0.940, end at: 46, eps/sec: 13.67, ETR: 361.15 min
2024-12-26 14:18:24,346 - INFO - Episode 3801/300000, Reward: 1.0, Loss: 0.0010, Epsilon: 0.939, end at: 46, eps/sec: 13.61, ETR: 362.66 min
2024-12-26 14:18:33,079 - INFO - Episode 3901/300000, Reward: 2.0, Loss: 0.0010, Epsilon: 0.937, end at: 46, eps/sec: 13.55, ETR: 364.29 min
2024-12-26 14:18:41,459 - INFO - Episode 4001/300000, Reward: 3.0, Loss: 0.0011, Epsilon: 0.936, end at: 46, eps/sec: 13.50, ETR: 365.40 min
2024-12-26 14:18:49,948 - INFO - Episode 4101/300000, Reward: 1.0, Loss: 0.0014, Epsilon: 0.934, end at: 46, eps/sec: 13.45, ETR: 366.58 min
2024-12-26 14:18:58,435 - INFO - Episode 4201/300000, Reward: 1.0, Loss: 0.0013, Epsilon: 0.932, end at: 46, eps/sec: 13.41, ETR: 367.69 min
2024-12-26 14:19:06,810 - INFO - Episode 4301/300000, Reward: 2.0, Loss: 0.0014, Epsilon: 0.931, end at: 46, eps/sec: 13.37, ETR: 368.62 min
2024-12-26 14:19:15,352 - INFO - Episode 4401/300000, Reward: 1.0, Loss: 0.0015, Epsilon: 0.929, end at: 46, eps/sec: 13.33, ETR: 369.68 min
2024-12-26 14:19:23,962 - INFO - Episode 4501/300000, Reward: 1.0, Loss: 0.0020, Epsilon: 0.928, end at: 46, eps/sec: 13.28, ETR: 370.77 min
2024-12-26 14:19:32,656 - INFO - Episode 4601/300000, Reward: 8.0, Loss: 0.0014, Epsilon: 0.926, end at: 46, eps/sec: 13.24, ETR: 371.89 min
2024-12-26 14:19:41,242 - INFO - Episode 4701/300000, Reward: 4.0, Loss: 0.0015, Epsilon: 0.925, end at: 46, eps/sec: 13.20, ETR: 372.85 min
2024-12-26 14:19:49,901 - INFO - Episode 4801/300000, Reward: 3.0, Loss: 0.0018, Epsilon: 0.923, end at: 46, eps/sec: 13.16, ETR: 373.83 min
2024-12-26 14:19:58,598 - INFO - Episode 4901/300000, Reward: 2.0, Loss: 0.0010, Epsilon: 0.922, end at: 46, eps/sec: 13.12, ETR: 374.80 min
2024-12-26 14:20:07,444 - INFO - Episode 5001/300000, Reward: 5.0, Loss: 0.0013, Epsilon: 0.920, end at: 46, eps/sec: 13.08, ETR: 375.88 min
2024-12-26 14:20:16,230 - INFO - Episode 5101/300000, Reward: 3.0, Loss: 0.0014, Epsilon: 0.919, end at: 46, eps/sec: 13.04, ETR: 376.86 min
2024-12-26 14:20:24,996 - INFO - Episode 5201/300000, Reward: 2.0, Loss: 0.0018, Epsilon: 0.917, end at: 46, eps/sec: 13.01, ETR: 377.77 min
2024-12-26 14:20:33,719 - INFO - Episode 5301/300000, Reward: 2.0, Loss: 0.0019, Epsilon: 0.916, end at: 46, eps/sec: 12.97, ETR: 378.60 min
2024-12-26 14:20:42,428 - INFO - Episode 5401/300000, Reward: 1.0, Loss: 0.0009, Epsilon: 0.914, end at: 46, eps/sec: 12.94, ETR: 379.38 min
2024-12-26 14:20:51,156 - INFO - Episode 5501/300000, Reward: 6.0, Loss: 0.0014, Epsilon: 0.912, end at: 46, eps/sec: 12.91, ETR: 380.14 min
2024-12-26 14:21:00,020 - INFO - Episode 5601/300000, Reward: 4.0, Loss: 0.0009, Epsilon: 0.911, end at: 46, eps/sec: 12.88, ETR: 380.99 min
2024-12-26 14:21:08,853 - INFO - Episode 5701/300000, Reward: 3.0, Loss: 0.0016, Epsilon: 0.909, end at: 46, eps/sec: 12.85, ETR: 381.78 min
2024-12-26 14:21:17,763 - INFO - Episode 5801/300000, Reward: 7.0, Loss: 0.0019, Epsilon: 0.908, end at: 46, eps/sec: 12.82, ETR: 382.61 min
2024-12-26 14:21:26,629 - INFO - Episode 5901/300000, Reward: 5.0, Loss: 0.0014, Epsilon: 0.906, end at: 46, eps/sec: 12.79, ETR: 383.36 min
2024-12-26 14:21:35,527 - INFO - Episode 6001/300000, Reward: 2.0, Loss: 0.0012, Epsilon: 0.905, end at: 46, eps/sec: 12.76, ETR: 384.11 min
2024-12-26 14:21:44,353 - INFO - Episode 6101/300000, Reward: 4.0, Loss: 0.0010, Epsilon: 0.903, end at: 46, eps/sec: 12.73, ETR: 384.77 min
2024-12-26 14:21:53,230 - INFO - Episode 6201/300000, Reward: 1.0, Loss: 0.0014, Epsilon: 0.902, end at: 46, eps/sec: 12.70, ETR: 385.45 min
