phase,episode,reward,positions
training,1,2.0,"[(0, 0, 0), (1, 0, 0), (2, 0, 0), (2, -1, 0), (1, -1, 0), (0, -1, 0), (0, -1, 1), (1, -1, 1), (1, -1, 2), (1, -1, 3), (1, -2, 3), (1, -2, 2), (2, -2, 2), (2, -1, 2), (3, -1, 2), (3, -1, 3), (3, -2, 3), (2, -2, 3), (2, -1, 3), (2, -1, 4), (2, -2, 4), (2, -3, 4), (1, -3, 4), (0, -3, 4)]"
training,8,3.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (1, -3, 0), (2, -3, 0), (3, -3, 0), (4, -3, 0), (4, -2, 0), (4, -2, 1), (4, -2, 2), (5, -2, 2), (5, -1, 2), (4, -1, 2), (3, -1, 2), (3, 0, 2), (3, 1, 2), (4, 1, 2), (4, 1, 1), (3, 1, 1), (2, 1, 1), (2, 0, 1), (1, 0, 1), (1, 0, 2)]"
training,9,3.0,"[(0, 0, 0), (1, 0, 0), (2, 0, 0), (2, -1, 0), (3, -1, 0), (3, -1, 1), (3, 0, 1), (2, 0, 1), (2, 1, 1), (2, 1, 0), (1, 1, 0), (1, 1, -1), (0, 1, -1), (0, 0, -1), (-1, 0, -1), (-1, 1, -1), (-1, 2, -1), (0, 2, -1), (0, 2, -2), (-1, 2, -2), (-1, 3, -2), (0, 3, -2), (0, 3, -1), (0, 3, 0)]"
training,20,3.0,"[(0, 0, 0), (1, 0, 0), (2, 0, 0), (2, -1, 0), (2, -1, 1), (1, -1, 1), (1, 0, 1), (2, 0, 1), (2, 1, 1), (2, 1, 2), (1, 1, 2), (1, 2, 2), (1, 2, 1), (1, 2, 0), (1, 1, 0), (1, 1, -1), (0, 1, -1), (0, 0, -1), (-1, 0, -1), (-1, 1, -1), (-1, 2, -1), (-1, 2, 0), (0, 2, 0), (0, 2, 1)]"
training,35,3.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (2, -1, 0), (2, 0, 0), (3, 0, 0), (3, 1, 0), (2, 1, 0), (2, 1, 1), (2, 2, 1), (2, 3, 1), (3, 3, 1), (3, 2, 1), (3, 1, 1), (3, 1, 2), (3, 1, 3), (3, 1, 4), (3, 1, 5), (3, 2, 5), (3, 2, 4), (3, 3, 4), (2, 3, 4), (1, 3, 4), (0, 3, 4)]"
training,39,3.0,"[(0, 0, 0), (1, 0, 0), (2, 0, 0), (3, 0, 0), (3, -1, 0), (3, -2, 0), (4, -2, 0), (4, -2, 1), (3, -2, 1), (3, -1, 1), (2, -1, 1), (2, -1, 0), (1, -1, 0), (1, -1, 1), (1, -2, 1), (0, -2, 1), (0, -1, 1), (-1, -1, 1), (-2, -1, 1), (-2, 0, 1), (-1, 0, 1), (-1, 0, 2), (-2, 0, 2), (-3, 0, 2)]"
training,40,4.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (2, -1, 0), (2, -2, 0), (3, -2, 0), (4, -2, 0), (4, -1, 0), (3, -1, 0), (3, 0, 0), (4, 0, 0), (5, 0, 0), (5, 0, 1), (4, 0, 1), (4, -1, 1), (3, -1, 1), (3, -2, 1), (3, -2, 2), (2, -2, 2), (2, -2, 1), (2, -3, 1), (3, -3, 1), (3, -3, 2), (3, -4, 2)]"
training,117,4.0,"[(0, 0, 0), (1, 0, 0), (2, 0, 0), (3, 0, 0), (4, 0, 0), (4, -1, 0), (5, -1, 0), (5, -1, 1), (6, -1, 1), (6, -2, 1), (5, -2, 1), (5, -2, 2), (4, -2, 2), (4, -2, 3), (4, -3, 3), (3, -3, 3), (3, -2, 3), (3, -2, 4), (3, -1, 4), (3, -1, 3), (4, -1, 3), (4, -1, 2), (5, -1, 2), (6, -1, 2)]"
training,123,5.0,"[(0, 0, 0), (1, 0, 0), (2, 0, 0), (2, -1, 0), (2, -2, 0), (1, -2, 0), (1, -1, 0), (0, -1, 0), (0, -1, 1), (-1, -1, 1), (-1, 0, 1), (-1, 1, 1), (-1, 1, 0), (0, 1, 0), (0, 1, 1), (1, 1, 1), (1, 1, 0), (1, 1, -1), (1, 2, -1), (1, 2, 0), (1, 2, 1), (1, 2, 2), (1, 3, 2), (1, 4, 2)]"
training,152,5.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (-1, -2, 0), (-1, -1, 0), (0, -1, 0), (0, -1, 1), (0, -1, 2), (1, -1, 2), (1, -2, 2), (1, -2, 1), (1, -1, 1), (1, 0, 1), (2, 0, 1), (2, 0, 0), (2, 1, 0), (2, 1, 1), (1, 1, 1), (1, 1, 2), (1, 1, 3), (1, 0, 3), (1, 0, 2)]"
training,156,5.0,"[(0, 0, 0), (1, 0, 0), (2, 0, 0), (2, -1, 0), (1, -1, 0), (1, -2, 0), (1, -2, 1), (1, -2, 2), (1, -2, 3), (0, -2, 3), (0, -3, 3), (-1, -3, 3), (-1, -2, 3), (-1, -2, 2), (-1, -1, 2), (0, -1, 2), (0, -1, 1), (0, -2, 1), (0, -2, 0), (0, -1, 0), (0, -1, -1), (0, 0, -1), (1, 0, -1), (1, 1, -1)]"
training,306,5.0,"[(0, 0, 0), (1, 0, 0), (2, 0, 0), (2, -1, 0), (1, -1, 0), (1, -1, 1), (1, 0, 1), (0, 0, 1), (-1, 0, 1), (-1, 0, 2), (0, 0, 2), (0, 0, 3), (0, -1, 3), (0, -1, 2), (0, -1, 1), (0, -1, 0), (0, -2, 0), (-1, -2, 0), (-1, -1, 0), (-1, 0, 0), (-2, 0, 0), (-2, 1, 0), (-2, 1, 1), (-2, 2, 1)]"
training,343,5.0,"[(0, 0, 0), (1, 0, 0), (2, 0, 0), (2, -1, 0), (1, -1, 0), (1, -1, 1), (1, -2, 1), (1, -2, 0), (2, -2, 0), (3, -2, 0), (3, -2, -1), (3, -1, -1), (3, -1, -2), (3, -2, -2), (3, -3, -2), (2, -3, -2), (1, -3, -2), (1, -2, -2), (1, -1, -2), (1, -1, -3), (2, -1, -3), (2, -1, -2), (2, -2, -2), (2, -2, -1)]"
training,371,5.0,"[(0, 0, 0), (1, 0, 0), (2, 0, 0), (2, -1, 0), (2, -1, 1), (2, -1, 2), (2, -2, 2), (2, -2, 1), (1, -2, 1), (1, -1, 1), (1, 0, 1), (2, 0, 1), (2, 0, 2), (2, 1, 2), (2, 1, 1), (1, 1, 1), (1, 1, 2), (0, 1, 2), (0, 2, 2), (0, 2, 1), (0, 2, 0), (1, 2, 0), (1, 1, 0), (0, 1, 0)]"
training,671,5.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (2, -1, 0), (2, -2, 0), (2, -2, 1), (3, -2, 1), (3, -2, 0), (3, -3, 0), (3, -3, -1), (3, -2, -1), (2, -2, -1), (2, -1, -1), (3, -1, -1), (4, -1, -1), (4, -1, -2), (5, -1, -2), (5, -2, -2), (5, -2, -1), (5, -2, 0), (5, -1, 0), (4, -1, 0), (4, -2, 0), (4, -3, 0)]"
training,674,5.0,"[(0, 0, 0), (1, 0, 0), (2, 0, 0), (2, -1, 0), (1, -1, 0), (1, -1, 1), (0, -1, 1), (0, -1, 0), (0, -2, 0), (0, -2, -1), (-1, -2, -1), (-1, -2, -2), (0, -2, -2), (1, -2, -2), (1, -1, -2), (1, -1, -1), (1, -2, -1), (1, -2, 0), (1, -3, 0), (0, -3, 0), (0, -3, -1), (-1, -3, -1), (-1, -3, 0), (-1, -3, 1)]"
training,745,5.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (0, -1, 0), (0, -1, 1), (0, 0, 1), (1, 0, 1), (1, -1, 1), (1, -2, 1), (1, -2, 0), (1, -2, -1), (2, -2, -1), (2, -1, -1), (1, -1, -1), (1, 0, -1), (1, 0, -2), (2, 0, -2), (2, -1, -2), (3, -1, -2), (3, 0, -2), (3, 1, -2), (3, 1, -3), (3, 0, -3), (2, 0, -3)]"
training,829,5.0,"[(0, 0, 0), (1, 0, 0), (2, 0, 0), (2, -1, 0), (1, -1, 0), (0, -1, 0), (-1, -1, 0), (-1, 0, 0), (-1, 0, 1), (-1, 0, 2), (-1, -1, 2), (-1, -1, 3), (-1, 0, 3), (-1, 1, 3), (-1, 1, 4), (-2, 1, 4), (-2, 2, 4), (-2, 2, 3), (-1, 2, 3), (-1, 2, 4), (0, 2, 4), (0, 3, 4), (-1, 3, 4), (-2, 3, 4)]"
training,947,5.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -1, 1), (1, -1, 2), (2, -1, 2), (2, -2, 2), (1, -2, 2), (1, -2, 3), (1, -3, 3), (1, -3, 2), (1, -4, 2), (0, -4, 2), (0, -4, 1), (0, -4, 0), (0, -5, 0), (0, -5, 1), (0, -5, 2), (1, -5, 2), (1, -6, 2), (2, -6, 2), (2, -6, 1), (1, -6, 1), (0, -6, 1)]"
training,1108,5.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -1, 1), (0, -1, 1), (0, 0, 1), (0, 0, 2), (0, -1, 2), (-1, -1, 2), (-2, -1, 2), (-2, -1, 1), (-1, -1, 1), (-1, -1, 0), (0, -1, 0), (0, -2, 0), (0, -2, 1), (-1, -2, 1), (-1, -2, 2), (-2, -2, 2), (-2, -2, 1), (-2, -3, 1), (-2, -3, 2), (-2, -3, 3), (-2, -2, 3)]"
training,1169,5.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -1, 1), (1, 0, 1), (1, 0, 2), (0, 0, 2), (0, 0, 1), (0, 1, 1), (0, 2, 1), (0, 2, 2), (0, 1, 2), (-1, 1, 2), (-1, 1, 1), (-1, 0, 1), (-1, 0, 0), (-1, 0, -1), (-2, 0, -1), (-2, 0, -2), (-1, 0, -2), (-1, 1, -2), (0, 1, -2), (0, 0, -2), (1, 0, -2)]"
training,1562,5.0,"[(0, 0, 0), (1, 0, 0), (2, 0, 0), (2, -1, 0), (2, -1, 1), (2, -1, 2), (2, -2, 2), (2, -2, 1), (2, -2, 0), (2, -2, -1), (1, -2, -1), (1, -1, -1), (1, -1, 0), (1, -1, 1), (1, -1, 2), (1, 0, 2), (0, 0, 2), (0, 0, 3), (0, -1, 3), (0, -1, 2), (0, -1, 1), (0, -2, 1), (1, -2, 1), (1, -3, 1)]"
training,2056,6.0,"[(0, 0, 0), (1, 0, 0), (2, 0, 0), (2, -1, 0), (1, -1, 0), (1, -1, 1), (0, -1, 1), (0, -1, 0), (-1, -1, 0), (-1, -1, -1), (-1, -2, -1), (0, -2, -1), (0, -3, -1), (-1, -3, -1), (-1, -3, 0), (-1, -4, 0), (-1, -5, 0), (-2, -5, 0), (-2, -5, 1), (-1, -5, 1), (-1, -6, 1), (-1, -6, 2), (-1, -5, 2), (0, -5, 2)]"
training,2311,7.0,"[(0, 0, 0), (1, 0, 0), (2, 0, 0), (2, -1, 0), (1, -1, 0), (1, -2, 0), (1, -2, 1), (1, -1, 1), (2, -1, 1), (2, 0, 1), (1, 0, 1), (0, 0, 1), (0, -1, 1), (0, -1, 0), (-1, -1, 0), (-1, -1, -1), (-1, -2, -1), (-2, -2, -1), (-2, -3, -1), (-3, -3, -1), (-3, -2, -1), (-3, -2, 0), (-2, -2, 0), (-1, -2, 0)]"
training,5328,7.0,"[(0, 0, 0), (1, 0, 0), (2, 0, 0), (2, -1, 0), (3, -1, 0), (3, -1, 1), (3, 0, 1), (3, 0, 0), (4, 0, 0), (4, 1, 0), (3, 1, 0), (3, 2, 0), (3, 2, -1), (3, 1, -1), (3, 0, -1), (2, 0, -1), (2, 1, -1), (1, 1, -1), (1, 2, -1), (2, 2, -1), (2, 2, 0), (2, 1, 0), (1, 1, 0), (0, 1, 0)]"
