episode,training_reward
1,9.0
2,8.0
3,12.0
4,9.0
5,12.0
6,7.0
7,11.0
8,11.0
9,5.0
10,3.0
11,9.0
12,3.0
13,13.0
14,6.0
15,14.0
16,9.0
17,6.0
18,7.0
19,12.0
20,6.0
21,11.0
22,9.0
23,7.0
24,20.0
25,7.0
26,5.0
27,3.0
28,10.0
29,14.0
30,8.0
31,10.0
32,6.0
33,5.0
34,3.0
35,5.0
36,15.0
37,10.0
38,4.0
39,4.0
40,9.0
41,14.0
42,7.0
43,6.0
44,2.0
45,5.0
46,12.0
47,14.0
48,8.0
49,13.0
50,3.0
51,12.0
52,8.0
53,12.0
54,10.0
55,4.0
56,15.0
57,8.0
58,11.0
59,10.0
60,13.0
61,3.0
62,19.0
63,9.0
64,8.0
65,6.0
66,7.0
67,24.0
68,8.0
69,5.0
70,11.0
71,9.0
72,11.0
73,6.0
74,8.0
75,7.0
76,1.0
77,6.0
78,8.0
79,8.0
80,6.0
81,6.0
82,6.0
83,11.0
84,12.0
85,14.0
86,12.0
87,7.0
88,8.0
89,7.0
90,10.0
91,10.0
92,11.0
93,7.0
94,8.0
95,14.0
96,9.0
97,2.0
98,3.0
99,12.0
100,9.0
101,11.0
102,9.0
103,12.0
104,6.0
105,7.0
106,3.0
107,8.0
108,7.0
109,3.0
110,12.0
111,18.0
112,13.0
113,2.0
114,11.0
115,8.0
116,16.0
117,12.0
118,6.0
119,4.0
120,7.0
121,4.0
122,9.0
123,9.0
124,8.0
125,14.0
126,7.0
127,7.0
128,11.0
129,6.0
130,12.0
131,10.0
132,15.0
133,9.0
134,15.0
135,13.0
136,7.0
137,7.0
138,3.0
139,6.0
140,3.0
141,9.0
142,14.0
143,7.0
144,11.0
145,11.0
146,7.0
147,21.0
148,9.0
149,2.0
150,12.0
151,9.0
152,4.0
153,6.0
154,14.0
155,10.0
156,3.0
157,15.0
158,6.0
159,14.0
160,10.0
161,17.0
162,10.0
163,5.0
164,9.0
165,8.0
166,15.0
167,12.0
168,10.0
169,14.0
170,10.0
171,3.0
172,11.0
173,9.0
174,10.0
175,7.0
176,14.0
177,9.0
178,7.0
179,6.0
180,10.0
181,8.0
182,12.0
183,9.0
184,12.0
185,15.0
186,4.0
187,12.0
188,12.0
189,4.0
190,12.0
191,8.0
192,12.0
193,12.0
194,5.0
195,7.0
196,18.0
197,9.0
198,12.0
199,17.0
200,16.0
201,2.0
202,8.0
203,8.0
204,12.0
205,1.0
206,9.0
207,8.0
208,5.0
209,15.0
210,7.0
211,4.0
212,12.0
213,6.0
214,14.0
215,15.0
216,10.0
217,9.0
218,16.0
219,2.0
220,8.0
221,15.0
222,5.0
223,11.0
224,3.0
225,12.0
226,7.0
227,5.0
228,19.0
229,1.0
230,9.0
231,12.0
232,15.0
233,18.0
234,11.0
235,5.0
236,11.0
237,6.0
238,5.0
239,6.0
240,10.0
241,12.0
242,11.0
243,9.0
244,5.0
245,5.0
246,12.0
247,14.0
248,17.0
249,6.0
250,10.0
251,11.0
252,19.0
253,9.0
254,4.0
255,8.0
256,8.0
257,4.0
258,6.0
259,3.0
260,13.0
261,6.0
262,8.0
263,3.0
264,2.0
265,7.0
266,4.0
267,7.0
268,11.0
269,9.0
270,12.0
271,15.0
272,14.0
273,8.0
274,8.0
275,4.0
276,14.0
277,10.0
278,4.0
279,8.0
280,3.0
281,6.0
282,5.0
283,13.0
284,10.0
285,3.0
286,22.0
287,11.0
288,4.0
289,7.0
290,20.0
291,3.0
292,7.0
293,10.0
294,9.0
295,15.0
296,5.0
297,10.0
298,10.0
299,14.0
300,11.0
301,11.0
302,21.0
303,13.0
304,9.0
305,9.0
306,6.0
307,15.0
308,4.0
309,8.0
310,8.0
311,8.0
312,10.0
313,13.0
314,13.0
315,5.0
316,7.0
317,13.0
318,8.0
319,5.0
320,8.0
321,5.0
322,4.0
323,15.0
324,7.0
325,13.0
326,4.0
327,15.0
328,10.0
329,8.0
330,7.0
331,11.0
332,10.0
333,9.0
334,7.0
335,8.0
336,8.0
337,8.0
338,15.0
339,6.0
340,8.0
341,4.0
342,7.0
343,11.0
344,9.0
345,16.0
346,9.0
347,18.0
348,13.0
349,8.0
350,10.0
351,7.0
352,4.0
353,5.0
354,7.0
355,25.0
356,18.0
357,20.0
358,5.0
359,16.0
360,6.0
361,11.0
362,9.0
363,6.0
364,17.0
365,15.0
366,16.0
367,5.0
368,7.0
369,9.0
370,3.0
371,7.0
372,20.0
373,4.0
374,12.0
375,18.0
376,9.0
377,8.0
378,14.0
379,13.0
380,7.0
381,8.0
382,13.0
383,9.0
384,12.0
385,11.0
386,10.0
387,12.0
388,13.0
389,11.0
390,10.0
391,4.0
392,3.0
393,6.0
394,4.0
395,8.0
396,8.0
397,11.0
398,7.0
399,6.0
400,10.0
401,14.0
402,17.0
403,2.0
404,10.0
405,13.0
406,10.0
407,8.0
408,8.0
409,11.0
410,6.0
411,8.0
412,5.0
413,10.0
414,10.0
415,10.0
416,7.0
417,12.0
418,4.0
419,18.0
420,8.0
421,1.0
422,17.0
423,7.0
424,9.0
425,9.0
426,11.0
427,6.0
428,6.0
429,9.0
430,8.0
431,8.0
432,11.0
433,9.0
434,9.0
435,3.0
436,5.0
437,6.0
438,4.0
439,12.0
440,8.0
441,11.0
442,6.0
443,12.0
444,6.0
445,12.0
446,6.0
447,9.0
448,5.0
449,5.0
450,14.0
451,11.0
452,4.0
453,7.0
454,14.0
455,5.0
456,14.0
457,10.0
458,13.0
459,5.0
460,8.0
461,4.0
462,12.0
463,13.0
464,9.0
465,18.0
466,6.0
467,9.0
468,14.0
469,18.0
470,18.0
471,9.0
472,4.0
473,7.0
474,8.0
475,6.0
476,7.0
477,3.0
478,4.0
479,13.0
480,7.0
481,11.0
482,11.0
483,8.0
484,11.0
485,9.0
486,14.0
487,4.0
488,12.0
489,11.0
490,9.0
491,4.0
492,7.0
493,10.0
494,9.0
495,10.0
496,13.0
497,4.0
498,7.0
499,12.0
500,9.0
501,8.0
502,11.0
503,12.0
504,4.0
505,16.0
506,9.0
507,11.0
508,9.0
509,4.0
510,16.0
511,11.0
512,11.0
513,13.0
514,12.0
515,20.0
516,9.0
517,8.0
518,13.0
519,8.0
520,24.0
521,10.0
522,5.0
523,8.0
524,13.0
525,14.0
526,7.0
527,12.0
528,5.0
529,10.0
530,13.0
531,13.0
532,12.0
533,8.0
534,9.0
535,5.0
536,12.0
537,3.0
538,10.0
539,13.0
540,21.0
541,7.0
542,9.0
543,11.0
544,13.0
545,8.0
546,13.0
547,2.0
548,14.0
549,16.0
550,9.0
551,4.0
552,1.0
553,9.0
554,8.0
555,6.0
556,4.0
557,6.0
558,13.0
559,6.0
560,5.0
561,12.0
562,5.0
563,7.0
564,19.0
565,5.0
566,4.0
567,4.0
568,5.0
569,14.0
570,14.0
571,5.0
572,7.0
573,10.0
574,8.0
575,5.0
576,15.0
577,4.0
578,9.0
579,4.0
580,10.0
581,18.0
582,16.0
583,8.0
584,7.0
585,11.0
586,7.0
587,10.0
588,12.0
589,6.0
590,7.0
591,8.0
592,6.0
593,8.0
594,5.0
595,5.0
596,9.0
597,13.0
598,5.0
599,12.0
600,8.0
601,7.0
602,12.0
603,14.0
604,9.0
605,16.0
606,14.0
607,7.0
608,14.0
609,8.0
610,12.0
611,8.0
612,11.0
613,19.0
614,16.0
615,10.0
616,10.0
617,5.0
618,7.0
619,6.0
620,7.0
621,23.0
622,12.0
623,9.0
624,13.0
625,8.0
626,8.0
627,11.0
628,7.0
629,1.0
630,8.0
631,8.0
632,13.0
633,9.0
634,7.0
635,6.0
636,6.0
637,10.0
638,11.0
639,2.0
640,6.0
641,11.0
642,7.0
643,11.0
644,13.0
645,16.0
646,6.0
647,8.0
648,9.0
649,14.0
650,4.0
651,5.0
652,8.0
653,14.0
654,10.0
655,11.0
656,11.0
657,15.0
658,7.0
659,7.0
660,8.0
661,8.0
662,6.0
663,18.0
664,9.0
665,11.0
666,7.0
667,8.0
668,6.0
669,3.0
670,6.0
671,10.0
672,6.0
673,7.0
674,5.0
675,8.0
676,9.0
677,4.0
678,6.0
679,1.0
680,8.0
681,8.0
682,7.0
683,9.0
684,9.0
685,9.0
686,7.0
687,10.0
688,12.0
689,8.0
690,9.0
691,7.0
692,17.0
693,13.0
694,2.0
695,12.0
696,9.0
697,5.0
698,10.0
699,5.0
700,11.0
701,12.0
702,7.0
703,5.0
704,7.0
705,2.0
706,12.0
707,9.0
708,5.0
709,6.0
710,8.0
711,8.0
712,7.0
713,13.0
714,8.0
715,10.0
716,9.0
717,22.0
718,17.0
719,7.0
720,7.0
721,9.0
722,9.0
723,9.0
724,10.0
725,7.0
726,4.0
727,5.0
728,9.0
729,12.0
730,7.0
731,7.0
732,9.0
733,6.0
734,7.0
735,3.0
736,6.0
737,4.0
738,11.0
739,10.0
740,6.0
741,4.0
742,14.0
743,10.0
744,13.0
745,13.0
746,8.0
747,15.0
748,13.0
749,2.0
750,6.0
751,9.0
752,8.0
753,10.0
754,12.0
755,9.0
756,5.0
757,14.0
758,13.0
759,19.0
760,8.0
761,13.0
762,9.0
763,8.0
764,10.0
765,9.0
766,9.0
767,12.0
768,5.0
769,4.0
770,8.0
771,10.0
772,11.0
773,7.0
774,12.0
775,8.0
776,9.0
777,8.0
778,3.0
779,6.0
780,10.0
781,9.0
782,6.0
783,8.0
784,11.0
785,20.0
786,16.0
787,4.0
788,6.0
789,7.0
790,10.0
791,11.0
792,9.0
793,8.0
794,10.0
795,12.0
796,7.0
797,10.0
798,8.0
799,21.0
800,9.0
801,11.0
802,6.0
803,6.0
804,11.0
805,3.0
806,5.0
807,9.0
808,6.0
809,5.0
810,2.0
811,11.0
812,17.0
813,7.0
814,5.0
815,5.0
816,3.0
817,8.0
818,6.0
819,5.0
820,5.0
821,5.0
822,14.0
823,12.0
824,11.0
825,10.0
826,6.0
827,13.0
828,8.0
829,11.0
830,5.0
831,10.0
832,8.0
833,8.0
834,3.0
835,10.0
836,7.0
837,9.0
838,5.0
839,5.0
840,6.0
841,9.0
842,12.0
843,9.0
844,5.0
845,3.0
846,8.0
847,7.0
848,4.0
849,8.0
850,11.0
851,8.0
852,11.0
853,13.0
854,5.0
855,12.0
856,8.0
857,8.0
858,0.0
859,14.0
860,8.0
861,7.0
862,10.0
863,10.0
864,4.0
865,8.0
866,5.0
867,16.0
868,11.0
869,19.0
870,2.0
871,8.0
872,6.0
873,13.0
874,9.0
875,17.0
876,9.0
877,4.0
878,5.0
879,11.0
880,8.0
881,8.0
882,7.0
883,13.0
884,11.0
885,9.0
886,5.0
887,13.0
888,12.0
889,5.0
890,4.0
891,9.0
892,6.0
893,3.0
894,8.0
895,8.0
896,15.0
897,11.0
898,6.0
899,5.0
900,14.0
901,17.0
902,5.0
903,7.0
904,3.0
905,7.0
906,18.0
907,8.0
908,5.0
909,11.0
910,9.0
911,9.0
912,4.0
913,4.0
914,5.0
915,16.0
916,4.0
917,11.0
918,12.0
919,4.0
920,14.0
921,2.0
922,10.0
923,10.0
924,5.0
925,11.0
926,8.0
927,10.0
928,10.0
929,5.0
930,8.0
931,6.0
932,9.0
933,12.0
934,8.0
935,14.0
936,5.0
937,3.0
938,8.0
939,14.0
940,5.0
941,10.0
942,8.0
943,11.0
944,6.0
945,10.0
946,10.0
947,13.0
948,9.0
949,13.0
950,13.0
951,5.0
952,11.0
953,4.0
954,17.0
955,7.0
956,16.0
957,8.0
958,8.0
959,11.0
960,7.0
961,15.0
962,12.0
963,11.0
964,10.0
965,6.0
966,7.0
967,10.0
968,17.0
969,11.0
970,14.0
971,7.0
972,7.0
973,3.0
974,16.0
975,8.0
976,3.0
977,8.0
978,5.0
979,5.0
980,8.0
981,9.0
982,7.0
983,3.0
984,10.0
985,8.0
986,9.0
987,15.0
988,17.0
989,14.0
990,5.0
991,3.0
992,3.0
993,12.0
994,12.0
995,11.0
996,8.0
997,10.0
998,11.0
999,5.0
1000,16.0
1001,15.0
1002,10.0
1003,10.0
1004,8.0
1005,6.0
1006,16.0
1007,8.0
1008,5.0
1009,10.0
1010,13.0
1011,19.0
1012,11.0
1013,15.0
1014,11.0
1015,10.0
1016,9.0
1017,7.0
1018,14.0
1019,21.0
1020,9.0
1021,3.0
1022,9.0
1023,17.0
1024,5.0
1025,11.0
1026,4.0
1027,10.0
1028,6.0
1029,12.0
1030,11.0
1031,8.0
1032,4.0
1033,11.0
1034,6.0
1035,12.0
1036,8.0
1037,12.0
1038,12.0
1039,16.0
1040,4.0
1041,10.0
1042,4.0
1043,10.0
1044,7.0
1045,8.0
1046,13.0
1047,12.0
1048,7.0
1049,2.0
1050,12.0
1051,3.0
1052,13.0
1053,13.0
1054,23.0
1055,10.0
1056,8.0
1057,6.0
1058,4.0
1059,7.0
1060,11.0
1061,12.0
1062,10.0
1063,10.0
1064,15.0
1065,15.0
1066,10.0
1067,11.0
1068,14.0
1069,8.0
1070,11.0
1071,6.0
1072,17.0
1073,8.0
1074,9.0
1075,6.0
1076,8.0
1077,9.0
1078,12.0
1079,7.0
1080,10.0
1081,5.0
1082,5.0
1083,7.0
1084,21.0
1085,12.0
1086,6.0
1087,14.0
1088,12.0
1089,5.0
1090,1.0
1091,18.0
1092,8.0
1093,6.0
1094,9.0
1095,6.0
1096,10.0
1097,12.0
1098,8.0
1099,8.0
1100,4.0
1101,8.0
1102,3.0
1103,7.0
1104,10.0
1105,4.0
1106,5.0
1107,6.0
1108,17.0
1109,10.0
1110,5.0
1111,18.0
1112,11.0
1113,3.0
1114,15.0
1115,7.0
1116,13.0
1117,5.0
1118,4.0
1119,14.0
1120,8.0
1121,8.0
1122,7.0
1123,14.0
1124,7.0
1125,7.0
1126,7.0
1127,4.0
1128,8.0
1129,7.0
1130,7.0
1131,12.0
1132,11.0
1133,10.0
1134,9.0
1135,5.0
1136,7.0
1137,10.0
1138,7.0
1139,6.0
1140,8.0
1141,22.0
1142,14.0
1143,8.0
1144,10.0
1145,4.0
1146,9.0
1147,10.0
1148,19.0
1149,11.0
1150,11.0
1151,2.0
1152,9.0
1153,13.0
1154,6.0
1155,3.0
1156,8.0
1157,12.0
1158,11.0
1159,13.0
1160,9.0
1161,9.0
1162,9.0
1163,1.0
1164,4.0
1165,12.0
1166,7.0
1167,7.0
1168,7.0
1169,13.0
1170,6.0
1171,11.0
1172,11.0
1173,10.0
1174,7.0
1175,6.0
1176,5.0
1177,17.0
1178,8.0
1179,9.0
1180,8.0
1181,11.0
1182,10.0
1183,9.0
1184,2.0
1185,8.0
1186,8.0
1187,13.0
1188,8.0
1189,8.0
1190,8.0
1191,8.0
1192,15.0
1193,8.0
1194,14.0
1195,15.0
1196,14.0
1197,2.0
1198,10.0
1199,2.0
1200,7.0
1201,11.0
1202,7.0
1203,12.0
1204,9.0
1205,8.0
1206,13.0
1207,10.0
1208,12.0
1209,6.0
1210,13.0
1211,11.0
1212,11.0
1213,5.0
1214,8.0
1215,15.0
1216,4.0
1217,19.0
1218,7.0
1219,8.0
1220,10.0
1221,16.0
1222,2.0
1223,6.0
1224,11.0
1225,14.0
1226,12.0
1227,7.0
1228,7.0
1229,18.0
1230,9.0
1231,5.0
1232,7.0
1233,21.0
1234,7.0
1235,12.0
1236,10.0
1237,13.0
1238,9.0
1239,7.0
1240,7.0
1241,7.0
1242,11.0
1243,5.0
1244,8.0
1245,12.0
1246,8.0
1247,11.0
1248,12.0
1249,6.0
1250,8.0
1251,15.0
1252,15.0
1253,7.0
1254,8.0
1255,9.0
1256,13.0
1257,10.0
1258,6.0
1259,5.0
1260,6.0
1261,10.0
1262,8.0
1263,6.0
1264,3.0
1265,13.0
1266,11.0
1267,9.0
1268,12.0
1269,7.0
1270,5.0
1271,1.0
1272,17.0
1273,9.0
1274,9.0
1275,19.0
1276,9.0
1277,11.0
1278,9.0
1279,5.0
1280,7.0
1281,6.0
1282,10.0
1283,7.0
1284,8.0
1285,11.0
1286,6.0
1287,6.0
1288,11.0
1289,14.0
1290,7.0
1291,12.0
1292,11.0
1293,5.0
1294,11.0
1295,5.0
1296,5.0
1297,12.0
1298,15.0
1299,12.0
1300,9.0
1301,9.0
1302,5.0
1303,5.0
1304,14.0
1305,11.0
1306,13.0
1307,14.0
1308,7.0
1309,11.0
1310,4.0
1311,13.0
1312,6.0
1313,7.0
1314,5.0
1315,3.0
1316,9.0
1317,9.0
1318,12.0
1319,10.0
1320,7.0
1321,6.0
1322,15.0
1323,9.0
1324,6.0
1325,8.0
1326,5.0
1327,18.0
1328,17.0
1329,11.0
1330,17.0
1331,4.0
1332,7.0
1333,10.0
1334,4.0
1335,11.0
1336,3.0
1337,9.0
1338,5.0
1339,6.0
1340,11.0
1341,18.0
1342,9.0
1343,6.0
1344,10.0
1345,8.0
1346,12.0
1347,14.0
1348,17.0
1349,9.0
1350,13.0
1351,23.0
1352,11.0
1353,6.0
1354,7.0
1355,5.0
1356,10.0
1357,10.0
1358,9.0
1359,3.0
1360,8.0
1361,10.0
1362,5.0
1363,12.0
1364,14.0
1365,4.0
1366,4.0
1367,4.0
1368,7.0
