phase,episode,reward,positions
training,2443,27.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -1, 1), (1, 0, 1), (0, 0, 1), (-1, 0, 1), (-1, 0, 2), (0, 0, 2), (0, -1, 2), (-1, -1, 2), (-1, -1, 1), (-1, -1, 0), (-2, -1, 0), (-2, -1, 1), (-2, -2, 1), (-1, -2, 1), (-1, -2, 0), (-1, -3, 0), (-1, -3, 1), (0, -3, 1), (0, -3, 0), (0, -3, -1), (0, -2, -1), (0, -2, 0), (1, -2, 0), (1, -3, 0), (1, -4, 0), (1, -4, 1), (1, -5, 1), (1, -5, 2), (1, -4, 2), (1, -3, 2), (1, -3, 1), (1, -2, 1), (0, -2, 1), (0, -1, 1), (0, -1, 0), (0, -1, -1), (-1, -1, -1), (-1, 0, -1), (-2, 0, -1), (-2, -1, -1), (-2, -1, -2), (-1, -1, -2), (-1, -1, -3), (-1, -1, -4), (-1, 0, -4), (-1, 0, -3), (0, 0, -3), (0, 1, -3), (0, 2, -3), (0, 2, -2), (0, 2, -1), (0, 1, -1), (-1, 1, -1), (-1, 1, 0), (0, 1, 0), (0, 2, 0), (1, 2, 0)]"
training,9345,28.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (2, -2, 0), (3, -2, 0), (3, -2, 1), (3, -3, 1), (3, -3, 2), (3, -2, 2), (2, -2, 2), (2, -3, 2), (2, -3, 3), (3, -3, 3), (3, -2, 3), (3, -1, 3), (3, -1, 2), (3, 0, 2), (3, 1, 2), (2, 1, 2), (2, 2, 2), (2, 2, 1), (2, 1, 1), (1, 1, 1), (1, 1, 2), (1, 0, 2), (1, -1, 2), (1, -1, 3), (0, -1, 3), (0, 0, 3), (1, 0, 3), (1, 0, 4), (2, 0, 4), (2, 0, 3), (2, 0, 2), (2, -1, 2), (2, -1, 1), (2, 0, 1), (1, 0, 1), (1, -1, 1), (1, -2, 1), (1, -2, 2), (1, -3, 2), (1, -3, 1), (1, -4, 1), (2, -4, 1), (2, -4, 2), (3, -4, 2), (4, -4, 2), (5, -4, 2), (5, -4, 3), (4, -4, 3), (4, -3, 3), (4, -3, 2), (5, -3, 2), (5, -3, 3), (5, -3, 4), (4, -3, 4), (4, -3, 5), (4, -2, 5)]"
training,11950,31.0,"[(0, 0, 0), (1, 0, 0), (2, 0, 0), (2, -1, 0), (1, -1, 0), (1, -1, 1), (1, -2, 1), (1, -2, 0), (1, -2, -1), (1, -3, -1), (1, -4, -1), (0, -4, -1), (0, -4, 0), (1, -4, 0), (1, -4, 1), (1, -5, 1), (0, -5, 1), (0, -4, 1), (0, -3, 1), (0, -3, 0), (1, -3, 0), (1, -3, 1), (1, -3, 2), (1, -2, 2), (2, -2, 2), (2, -2, 1), (2, -3, 1), (2, -4, 1), (3, -4, 1), (3, -5, 1), (3, -5, 2), (4, -5, 2), (4, -4, 2), (4, -4, 1), (4, -3, 1), (4, -2, 1), (4, -2, 0), (4, -3, 0), (4, -4, 0), (5, -4, 0), (5, -4, -1), (4, -4, -1), (3, -4, -1), (3, -4, 0), (3, -3, 0), (3, -3, 1), (3, -2, 1), (3, -2, 0), (2, -2, 0), (2, -3, 0), (2, -4, 0), (2, -4, -1), (2, -4, -2), (1, -4, -2), (1, -3, -2), (1, -3, -3), (2, -3, -3), (2, -3, -2), (2, -3, -1), (2, -2, -1)]"
training,14493,31.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (0, -1, 0), (0, -1, 1), (-1, -1, 1), (-1, -1, 0), (-1, -1, -1), (0, -1, -1), (0, -1, -2), (0, -1, -3), (0, 0, -3), (0, 1, -3), (1, 1, -3), (1, 1, -2), (1, 1, -1), (1, 0, -1), (0, 0, -1), (0, 0, -2), (-1, 0, -2), (-1, 0, -1), (-1, 1, -1), (0, 1, -1), (0, 2, -1), (0, 2, -2), (0, 1, -2), (-1, 1, -2), (-1, 1, -3), (-1, 0, -3), (-2, 0, -3), (-2, -1, -3), (-2, -1, -2), (-2, -1, -1), (-2, -2, -1), (-1, -2, -1), (-1, -2, -2), (-1, -3, -2), (0, -3, -2), (1, -3, -2), (1, -3, -3), (1, -2, -3), (0, -2, -3), (0, -2, -2), (0, -2, -1), (0, -3, -1), (-1, -3, -1), (-1, -4, -1), (-1, -4, -2), (-2, -4, -2), (-2, -3, -2), (-2, -2, -2), (-2, -2, -3), (-2, -3, -3), (-3, -3, -3), (-3, -4, -3), (-3, -4, -2), (-3, -3, -2), (-3, -2, -2), (-3, -2, -1), (-3, -3, -1)]"
training,27217,31.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (0, -1, 0), (0, -1, 1), (0, 0, 1), (0, 0, 2), (0, -1, 2), (-1, -1, 2), (-1, 0, 2), (-1, 0, 3), (0, 0, 3), (0, -1, 3), (-1, -1, 3), (-1, -2, 3), (0, -2, 3), (0, -2, 2), (-1, -2, 2), (-2, -2, 2), (-3, -2, 2), (-3, -2, 1), (-2, -2, 1), (-2, -3, 1), (-2, -3, 2), (-1, -3, 2), (-1, -3, 1), (-1, -4, 1), (-1, -4, 0), (0, -4, 0), (0, -5, 0), (0, -5, 1), (0, -4, 1), (0, -4, 2), (0, -4, 3), (-1, -4, 3), (-1, -3, 3), (0, -3, 3), (0, -3, 2), (1, -3, 2), (1, -3, 1), (1, -2, 1), (1, -2, 0), (1, -3, 0), (1, -3, -1), (0, -3, -1), (-1, -3, -1), (-1, -3, 0), (0, -3, 0), (0, -3, 1), (0, -2, 1), (-1, -2, 1), (-1, -2, 0), (-1, -1, 0), (-1, -1, 1), (-1, 0, 1), (-1, 0, 0), (-1, 0, -1), (-2, 0, -1), (-2, 0, 0), (-2, 0, 1)]"
training,30069,32.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (2, -1, 0), (3, -1, 0), (3, -1, 1), (2, -1, 1), (2, -2, 1), (2, -3, 1), (2, -4, 1), (2, -4, 0), (3, -4, 0), (3, -5, 0), (3, -5, 1), (2, -5, 1), (2, -5, 0), (1, -5, 0), (1, -4, 0), (1, -3, 0), (1, -3, -1), (1, -4, -1), (0, -4, -1), (0, -5, -1), (0, -5, -2), (0, -4, -2), (1, -4, -2), (1, -3, -2), (1, -3, -3), (0, -3, -3), (-1, -3, -3), (-1, -3, -2), (-1, -2, -2), (-1, -2, -1), (-1, -2, 0), (-1, -2, 1), (0, -2, 1), (0, -1, 1), (0, -1, 0), (0, -2, 0), (0, -2, -1), (0, -3, -1), (0, -3, 0), (0, -4, 0), (0, -4, 1), (-1, -4, 1), (-1, -3, 1), (0, -3, 1), (1, -3, 1), (1, -2, 1), (1, -2, 0), (2, -2, 0), (2, -2, -1), (1, -2, -1), (1, -1, -1), (1, 0, -1), (0, 0, -1), (0, -1, -1), (-1, -1, -1), (-1, -1, 0), (-2, -1, 0)]"
training,32341,34.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -1, 1), (0, -1, 1), (0, -1, 2), (0, 0, 2), (0, 0, 1), (1, 0, 1), (1, 0, 2), (1, 1, 2), (0, 1, 2), (0, 1, 1), (0, 2, 1), (0, 2, 2), (0, 3, 2), (1, 3, 2), (1, 2, 2), (1, 2, 1), (1, 1, 1), (2, 1, 1), (2, 0, 1), (3, 0, 1), (3, 0, 0), (2, 0, 0), (2, 1, 0), (3, 1, 0), (3, 2, 0), (3, 2, 1), (4, 2, 1), (4, 2, 0), (4, 1, 0), (4, 1, 1), (3, 1, 1), (3, 1, 2), (2, 1, 2), (2, 0, 2), (2, 0, 3), (2, -1, 3), (2, -1, 4), (2, 0, 4), (2, 0, 5), (2, -1, 5), (2, -2, 5), (2, -3, 5), (2, -3, 4), (2, -2, 4), (3, -2, 4), (3, -2, 3), (3, -1, 3), (3, 0, 3), (3, 0, 2), (3, -1, 2), (3, -1, 1), (3, -2, 1), (3, -2, 0), (3, -1, 0), (4, -1, 0), (4, -1, 1), (4, 0, 1)]"
training,40041,34.0,"[(0, 0, 0), (1, 0, 0), (2, 0, 0), (3, 0, 0), (3, -1, 0), (3, -1, 1), (4, -1, 1), (4, -1, 0), (4, 0, 0), (4, 1, 0), (4, 1, 1), (4, 0, 1), (5, 0, 1), (5, 0, 0), (6, 0, 0), (6, 0, 1), (6, 1, 1), (6, 1, 0), (5, 1, 0), (5, 1, 1), (5, 1, 2), (5, 1, 3), (5, 0, 3), (5, 0, 2), (4, 0, 2), (4, 1, 2), (4, 2, 2), (4, 2, 1), (4, 2, 0), (4, 2, -1), (4, 1, -1), (5, 1, -1), (5, 2, -1), (5, 2, 0), (5, 2, 1), (5, 2, 2), (5, 2, 3), (5, 2, 4), (4, 2, 4), (4, 2, 3), (4, 3, 3), (4, 3, 2), (4, 4, 2), (3, 4, 2), (3, 4, 1), (3, 3, 1), (4, 3, 1), (4, 3, 0), (5, 3, 0), (6, 3, 0), (6, 2, 0), (6, 2, 1), (6, 3, 1), (5, 3, 1), (5, 3, 2), (5, 3, 3), (5, 3, 4), (5, 3, 5), (4, 3, 5), (4, 4, 5)]"
training,43803,34.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (0, -1, 0), (0, -1, 1), (0, -2, 1), (0, -2, 0), (0, -3, 0), (0, -3, -1), (0, -3, -2), (0, -2, -2), (0, -2, -3), (1, -2, -3), (1, -1, -3), (1, 0, -3), (1, 0, -2), (2, 0, -2), (2, 0, -1), (2, 0, 0), (2, -1, 0), (3, -1, 0), (3, -1, -1), (2, -1, -1), (2, -1, -2), (2, -2, -2), (1, -2, -2), (1, -1, -2), (0, -1, -2), (0, -1, -3), (0, 0, -3), (0, 0, -2), (0, 0, -1), (1, 0, -1), (1, -1, -1), (0, -1, -1), (0, -2, -1), (1, -2, -1), (1, -2, 0), (1, -2, 1), (1, -3, 1), (2, -3, 1), (2, -3, 0), (2, -2, 0), (2, -2, -1), (3, -2, -1), (3, -2, 0), (3, -3, 0), (3, -3, 1), (3, -2, 1), (3, -1, 1), (4, -1, 1), (4, -1, 0), (4, 0, 0), (3, 0, 0), (3, 0, -1), (3, 1, -1), (2, 1, -1), (2, 1, 0), (3, 1, 0), (3, 1, 1)]"
training,47184,34.0,"[(0, 0, 0), (1, 0, 0), (2, 0, 0), (3, 0, 0), (3, -1, 0), (2, -1, 0), (2, -1, 1), (3, -1, 1), (4, -1, 1), (4, -1, 2), (3, -1, 2), (3, 0, 2), (3, 0, 1), (3, 1, 1), (3, 1, 0), (4, 1, 0), (4, 1, 1), (4, 2, 1), (3, 2, 1), (3, 3, 1), (3, 3, 2), (3, 2, 2), (2, 2, 2), (2, 2, 1), (2, 1, 1), (2, 1, 2), (3, 1, 2), (3, 1, 3), (3, 2, 3), (4, 2, 3), (4, 2, 2), (4, 1, 2), (4, 0, 2), (4, 0, 1), (4, 0, 0), (4, -1, 0), (4, -1, -1), (3, -1, -1), (3, 0, -1), (3, 1, -1), (2, 1, -1), (2, 1, 0), (2, 2, 0), (2, 2, -1), (2, 3, -1), (2, 3, 0), (2, 4, 0), (2, 4, -1), (1, 4, -1), (1, 4, 0), (1, 3, 0), (1, 3, 1), (1, 2, 1), (1, 2, 2), (1, 3, 2), (2, 3, 2), (2, 3, 1), (2, 4, 1), (3, 4, 1), (3, 4, 0)]"
