phase,episode,reward,positions
training,1,0.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (1, -2, 1), (1, -3, 1), (0, -3, 1), (0, -4, 1), (0, -4, 0), (0, -5, 0), (0, -5, 1), (0, -5, 2), (0, -6, 2), (-1, -6, 2), (-1, -7, 2), (-1, -7, 3), (0, -7, 3), (1, -7, 3), (1, -6, 3), (0, -6, 3), (-1, -6, 3), (-1, -6, 4), (-1, -6, 5), (-1, -5, 5), (0, -5, 5)]"
training,2,0.0,"[(0, 0, 0), (1, 0, 0), (2, 0, 0), (2, -1, 0), (3, -1, 0), (3, -1, 1), (3, 0, 1), (3, 0, 2), (4, 0, 2), (4, 0, 1), (4, -1, 1), (4, -1, 2), (4, -2, 2), (4, -3, 2), (4, -4, 2), (4, -5, 2), (4, -5, 1), (3, -5, 1), (2, -5, 1), (2, -6, 1), (3, -6, 1), (3, -6, 2), (2, -6, 2), (2, -7, 2), (1, -7, 2)]"
training,3,0.0,"[(0, 0, 0), (1, 0, 0), (2, 0, 0), (2, -1, 0), (2, -1, 1), (3, -1, 1), (3, 0, 1), (2, 0, 1), (2, 1, 1), (1, 1, 1), (1, 1, 0), (1, 1, -1), (2, 1, -1), (2, 0, -1), (1, 0, -1), (1, -1, -1), (2, -1, -1), (2, -2, -1), (2, -3, -1), (2, -3, -2), (2, -2, -2), (2, -2, -3), (2, -1, -3), (2, 0, -3), (1, 0, -3)]"
training,4,1.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -1, 1), (2, -1, 1), (2, -1, 0), (2, 0, 0), (2, 1, 0), (2, 1, -1), (2, 0, -1), (1, 0, -1), (1, 1, -1), (1, 1, 0), (0, 1, 0), (0, 2, 0), (0, 2, 1), (-1, 2, 1), (-1, 2, 0), (-2, 2, 0), (-2, 3, 0), (-2, 4, 0), (-1, 4, 0), (-1, 3, 0), (-1, 3, 1), (-1, 3, 2)]"
training,5,1.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -1, 1), (0, -1, 1), (0, -1, 2), (0, -2, 2), (1, -2, 2), (2, -2, 2), (2, -3, 2), (1, -3, 2), (1, -4, 2), (0, -4, 2), (0, -4, 1), (-1, -4, 1), (-1, -5, 1), (0, -5, 1), (0, -5, 0), (0, -6, 0), (1, -6, 0), (1, -6, -1), (1, -5, -1), (0, -5, -1), (-1, -5, -1), (-1, -5, 0)]"
training,9,1.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (1, -3, 0), (1, -4, 0), (1, -4, 1), (2, -4, 1), (2, -3, 1), (2, -2, 1), (3, -2, 1), (3, -2, 2), (3, -1, 2), (4, -1, 2), (4, -2, 2), (4, -2, 3), (3, -2, 3), (3, -1, 3), (3, -1, 4), (2, -1, 4), (2, 0, 4), (2, 0, 3), (2, 0, 2), (2, 1, 2), (3, 1, 2)]"
training,10,1.0,"[(0, 0, 0), (1, 0, 0), (2, 0, 0), (3, 0, 0), (3, -1, 0), (2, -1, 0), (2, -2, 0), (3, -2, 0), (3, -3, 0), (4, -3, 0), (5, -3, 0), (5, -4, 0), (6, -4, 0), (6, -3, 0), (7, -3, 0), (8, -3, 0), (9, -3, 0), (9, -4, 0), (10, -4, 0), (10, -3, 0), (10, -2, 0), (10, -2, 1), (9, -2, 1), (8, -2, 1), (8, -2, 2)]"
training,12,1.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (2, -1, 0), (2, -1, 1), (3, -1, 1), (3, -1, 0), (3, 0, 0), (3, 0, 1), (3, 0, 2), (3, -1, 2), (2, -1, 2), (2, 0, 2), (2, 1, 2), (2, 1, 3), (3, 1, 3), (3, 1, 2), (3, 1, 1), (3, 2, 1), (4, 2, 1), (4, 3, 1), (4, 3, 0), (3, 3, 0), (3, 3, 1), (3, 4, 1)]"
training,15,1.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (2, -1, 0), (3, -1, 0), (4, -1, 0), (4, 0, 0), (4, 0, 1), (5, 0, 1), (5, 0, 2), (5, 1, 2), (5, 2, 2), (5, 2, 1), (5, 2, 0), (5, 1, 0), (4, 1, 0), (4, 1, -1), (4, 2, -1), (4, 2, 0), (3, 2, 0), (3, 1, 0), (3, 1, 1), (4, 1, 1), (5, 1, 1), (6, 1, 1)]"
training,16,1.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -1, 1), (1, 0, 1), (1, 1, 1), (0, 1, 1), (0, 1, 2), (0, 0, 2), (0, -1, 2), (-1, -1, 2), (-1, -2, 2), (-1, -2, 3), (-1, -2, 4), (-1, -3, 4), (-1, -3, 3), (-2, -3, 3), (-2, -2, 3), (-2, -2, 4), (-2, -1, 4), (-2, 0, 4), (-2, 1, 4), (-3, 1, 4), (-3, 0, 4), (-4, 0, 4)]"
training,19,1.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (0, -1, 0), (0, -1, 1), (1, -1, 1), (1, -1, 2), (1, 0, 2), (1, 0, 1), (0, 0, 1), (0, 0, 2), (0, 0, 3), (1, 0, 3), (2, 0, 3), (2, 0, 4), (2, 1, 4), (2, 1, 3), (3, 1, 3), (3, 1, 4), (3, 2, 4), (3, 3, 4), (4, 3, 4), (4, 4, 4), (5, 4, 4), (6, 4, 4)]"
training,22,1.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (2, -1, 0), (3, -1, 0), (4, -1, 0), (4, -1, 1), (5, -1, 1), (6, -1, 1), (6, 0, 1), (5, 0, 1), (4, 0, 1), (4, 1, 1), (4, 2, 1), (5, 2, 1), (5, 3, 1), (5, 4, 1), (5, 5, 1), (6, 5, 1), (6, 5, 2), (5, 5, 2), (5, 5, 3), (4, 5, 3), (4, 4, 3), (5, 4, 3)]"
