phase,episode,reward,positions
training,77562,18.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -1, 1), (0, -1, 1), (0, 0, 1), (-1, 0, 1), (-1, 0, 0), (-1, 0, -1), (0, 0, -1), (1, 0, -1), (1, -1, -1), (1, -1, -2), (0, -1, -2), (0, -1, -1), (-1, -1, -1), (-1, -2, -1), (0, -2, -1), (0, -3, -1), (1, -3, -1), (1, -4, -1), (2, -4, -1), (2, -3, -1), (3, -3, -1), (3, -3, 0), (2, -3, 0), (1, -3, 0), (1, -2, 0), (0, -2, 0), (-1, -2, 0), (-1, -1, 0), (-2, -1, 0), (-2, 0, 0), (-2, 0, 1), (-2, 1, 1), (-1, 1, 1), (-1, 1, 0), (-1, 1, -1), (0, 1, -1), (0, 1, 0), (0, 1, 1), (0, 1, 2), (1, 1, 2), (1, 0, 2), (1, 0, 1), (1, 1, 1), (1, 1, 0), (1, 2, 0), (1, 2, -1), (1, 1, -1)]"
training,78370,19.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (0, -1, 0), (-1, -1, 0), (-1, 0, 0), (-1, 1, 0), (0, 1, 0), (0, 1, 1), (0, 0, 1), (1, 0, 1), (1, 0, 2), (2, 0, 2), (2, 0, 1), (2, 1, 1), (2, 1, 2), (2, 1, 3), (1, 1, 3), (1, 0, 3), (0, 0, 3), (0, 1, 3), (0, 1, 2), (0, 0, 2), (-1, 0, 2), (-1, 0, 3), (-1, 1, 3), (-1, 1, 2), (-1, 1, 1), (-1, 0, 1), (-1, -1, 1), (-1, -1, 2), (0, -1, 2), (0, -1, 3), (0, -2, 3), (0, -2, 2), (1, -2, 2), (1, -1, 2), (2, -1, 2), (2, -1, 1), (1, -1, 1), (0, -1, 1), (0, -2, 1), (1, -2, 1), (2, -2, 1), (2, -3, 1), (3, -3, 1), (3, -2, 1), (3, -2, 2), (2, -2, 2), (2, -3, 2)]"
training,96698,20.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (0, -1, 0), (0, -2, 0), (-1, -2, 0), (-1, -1, 0), (-1, 0, 0), (-1, 1, 0), (0, 1, 0), (0, 1, 1), (0, 0, 1), (0, 0, 2), (0, -1, 2), (0, -1, 1), (0, -2, 1), (0, -2, 2), (-1, -2, 2), (-1, -2, 1), (-1, -1, 1), (-1, -1, 2), (-1, 0, 2), (-1, 0, 1), (-2, 0, 1), (-2, 0, 0), (-2, 1, 0), (-2, 1, -1), (-2, 2, -1), (-2, 2, 0), (-3, 2, 0), (-3, 2, 1), (-3, 1, 1), (-2, 1, 1), (-2, 2, 1), (-1, 2, 1), (0, 2, 1), (0, 2, 2), (0, 1, 2), (1, 1, 2), (1, 1, 1), (1, 2, 1), (1, 2, 0), (1, 1, 0), (2, 1, 0), (2, 1, 1), (3, 1, 1), (3, 1, 2), (2, 1, 2), (2, 2, 2), (1, 2, 2)]"
training,102757,21.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (0, -1, 0), (-1, -1, 0), (-1, 0, 0), (-1, 1, 0), (0, 1, 0), (1, 1, 0), (1, 1, 1), (1, 0, 1), (0, 0, 1), (0, 1, 1), (0, 2, 1), (-1, 2, 1), (-2, 2, 1), (-2, 3, 1), (-2, 3, 0), (-1, 3, 0), (0, 3, 0), (0, 3, 1), (-1, 3, 1), (-1, 3, 2), (-2, 3, 2), (-3, 3, 2), (-3, 3, 3), (-2, 3, 3), (-1, 3, 3), (-1, 2, 3), (-1, 2, 2), (0, 2, 2), (0, 1, 2), (0, 1, 3), (-1, 1, 3), (-1, 1, 2), (-1, 1, 1), (-2, 1, 1), (-2, 0, 1), (-2, 0, 2), (-1, 0, 2), (-1, 0, 1), (-1, -1, 1), (-1, -1, 2), (0, -1, 2), (0, -1, 1), (1, -1, 1), (1, -2, 1), (1, -2, 0), (0, -2, 0), (0, -2, 1)]"
training,111232,22.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (0, -1, 0), (-1, -1, 0), (-1, 0, 0), (-1, 1, 0), (0, 1, 0), (1, 1, 0), (1, 1, 1), (0, 1, 1), (0, 0, 1), (1, 0, 1), (1, -1, 1), (0, -1, 1), (0, -1, 2), (-1, -1, 2), (-1, -2, 2), (0, -2, 2), (1, -2, 2), (2, -2, 2), (2, -3, 2), (1, -3, 2), (1, -3, 3), (1, -3, 4), (1, -4, 4), (1, -4, 3), (1, -4, 2), (1, -4, 1), (1, -3, 1), (0, -3, 1), (0, -2, 1), (-1, -2, 1), (-1, -1, 1), (-1, 0, 1), (-1, 1, 1), (-1, 2, 1), (0, 2, 1), (0, 2, 0), (1, 2, 0), (1, 3, 0), (1, 3, 1), (1, 2, 1), (1, 2, 2), (1, 1, 2), (2, 1, 2), (2, 1, 1), (2, 2, 1), (2, 2, 0), (2, 1, 0)]"
training,133811,24.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (0, -1, 0), (0, -1, 1), (-1, -1, 1), (-1, 0, 1), (-1, 0, 0), (-1, 1, 0), (0, 1, 0), (1, 1, 0), (1, 1, -1), (1, 0, -1), (2, 0, -1), (2, 0, 0), (2, -1, 0), (2, -1, 1), (1, -1, 1), (1, 0, 1), (0, 0, 1), (0, 0, 2), (0, 0, 3), (0, -1, 3), (0, -1, 2), (1, -1, 2), (1, 0, 2), (1, 0, 3), (1, -1, 3), (2, -1, 3), (2, -1, 2), (2, 0, 2), (2, 0, 1), (2, 1, 1), (3, 1, 1), (3, 1, 0), (2, 1, 0), (2, 1, -1), (2, 2, -1), (2, 2, 0), (1, 2, 0), (1, 2, -1), (1, 3, -1), (0, 3, -1), (0, 3, 0), (0, 2, 0), (0, 2, -1), (0, 1, -1), (-1, 1, -1), (-1, 0, -1), (0, 0, -1)]"
training,158241,25.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (0, -1, 0), (0, -1, 1), (0, 0, 1), (-1, 0, 1), (-1, 0, 0), (-1, 0, -1), (0, 0, -1), (1, 0, -1), (1, 1, -1), (1, 1, 0), (1, 1, 1), (1, 0, 1), (1, 0, 2), (1, -1, 2), (0, -1, 2), (0, 0, 2), (-1, 0, 2), (-1, -1, 2), (-1, -1, 1), (-1, -1, 0), (-1, -2, 0), (-1, -2, 1), (0, -2, 1), (0, -2, 0), (0, -2, -1), (0, -2, -2), (-1, -2, -2), (-1, -1, -2), (-1, -1, -1), (-2, -1, -1), (-2, 0, -1), (-2, 0, 0), (-2, 1, 0), (-2, 1, 1), (-1, 1, 1), (0, 1, 1), (0, 1, 0), (-1, 1, 0), (-1, 1, -1), (0, 1, -1), (0, 2, -1), (1, 2, -1), (1, 2, 0), (2, 2, 0), (2, 2, -1), (2, 1, -1), (2, 1, 0)]"
training,188820,26.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (0, -1, 0), (0, -1, 1), (0, 0, 1), (-1, 0, 1), (-1, 0, 0), (-1, 0, -1), (0, 0, -1), (1, 0, -1), (1, 1, -1), (1, 1, 0), (1, 1, 1), (1, 0, 1), (1, -1, 1), (1, -1, 2), (0, -1, 2), (0, 0, 2), (-1, 0, 2), (-1, -1, 2), (-1, -1, 1), (-1, -1, 0), (-1, -1, -1), (0, -1, -1), (0, -1, -2), (1, -1, -2), (1, 0, -2), (2, 0, -2), (2, 1, -2), (2, 2, -2), (1, 2, -2), (1, 1, -2), (0, 1, -2), (0, 0, -2), (-1, 0, -2), (-1, 1, -2), (-1, 1, -1), (0, 1, -1), (0, 1, 0), (-1, 1, 0), (-1, 1, 1), (0, 1, 1), (0, 2, 1), (0, 2, 0), (-1, 2, 0), (-1, 2, -1), (0, 2, -1), (1, 2, -1), (1, 2, 0)]"
training,334670,28.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (0, -1, 0), (0, -1, 1), (0, 0, 1), (-1, 0, 1), (-1, 0, 0), (-1, 1, 0), (0, 1, 0), (1, 1, 0), (1, 1, 1), (1, 0, 1), (1, -1, 1), (2, -1, 1), (2, 0, 1), (2, 0, 0), (2, 0, -1), (1, 0, -1), (0, 0, -1), (0, -1, -1), (-1, -1, -1), (-1, -1, 0), (-1, -1, 1), (-1, -1, 2), (0, -1, 2), (0, 0, 2), (1, 0, 2), (1, -1, 2), (2, -1, 2), (2, 0, 2), (2, 1, 2), (2, 1, 1), (2, 1, 0), (2, 1, -1), (1, 1, -1), (0, 1, -1), (0, 2, -1), (0, 2, 0), (1, 2, 0), (1, 2, -1), (2, 2, -1), (2, 2, 0), (2, 2, 1), (1, 2, 1), (1, 2, 2), (1, 1, 2), (0, 1, 2), (0, 1, 1), (0, 2, 1)]"
training,346798,29.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (0, -1, 0), (0, -1, 1), (0, 0, 1), (-1, 0, 1), (-1, 0, 0), (-1, 1, 0), (0, 1, 0), (1, 1, 0), (1, 1, 1), (1, 0, 1), (1, -1, 1), (2, -1, 1), (2, -1, 0), (2, 0, 0), (2, 0, -1), (1, 0, -1), (0, 0, -1), (-1, 0, -1), (-1, -1, -1), (-1, -1, 0), (-1, -1, 1), (-1, -1, 2), (-1, 0, 2), (0, 0, 2), (1, 0, 2), (1, -1, 2), (2, -1, 2), (2, 0, 2), (2, 0, 1), (2, 1, 1), (2, 1, 0), (2, 1, -1), (1, 1, -1), (0, 1, -1), (0, 2, -1), (0, 2, 0), (1, 2, 0), (1, 2, -1), (2, 2, -1), (2, 2, 0), (2, 2, 1), (1, 2, 1), (1, 2, 2), (1, 1, 2), (0, 1, 2), (0, 1, 1), (0, 2, 1)]"
