phase,episode,reward,positions
training,10763,8.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (0, -1, 0), (-1, -1, 0), (-1, 0, 0), (-1, 1, 0), (-1, 2, 0), (-2, 2, 0), (-3, 2, 0), (-3, 1, 0), (-2, 1, 0), (-2, 1, 1), (-2, 0, 1), (-2, 0, 0), (-2, 0, -1), (-1, 0, -1), (-1, 1, -1), (0, 1, -1), (0, 1, 0)]"
training,11086,8.0,"[(0, 0, 0), (1, 0, 0), (2, 0, 0), (3, 0, 0), (3, -1, 0), (2, -1, 0), (1, -1, 0), (0, -1, 0), (0, -1, 1), (-1, -1, 1), (-1, -1, 2), (0, -1, 2), (0, 0, 2), (0, 0, 1), (1, 0, 1), (2, 0, 1), (2, -1, 1), (1, -1, 1), (1, -2, 1), (0, -2, 1)]"
training,12072,9.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (-1, 0, 1), (0, 0, 1), (0, 1, 1), (-1, 1, 1), (-1, 1, 0), (-1, 0, 0), (-2, 0, 0), (-2, 0, 1), (-2, -1, 1), (-2, -1, 0), (-2, -1, -1), (-1, -1, -1)]"
training,12075,9.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (0, -1, 1), (0, -1, 2), (0, 0, 2), (1, 0, 2), (1, -1, 2), (1, -1, 1), (1, 0, 1), (0, 0, 1), (-1, 0, 1), (-1, 0, 2), (-1, -1, 2), (-1, -2, 2), (-1, -2, 1), (-1, -1, 1)]"
training,12726,9.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (0, -1, 0), (-1, -1, 0), (-1, 0, 0), (-1, 1, 0), (-1, 1, 1), (-1, 0, 1), (-1, -1, 1), (-1, -1, 2), (-1, 0, 2), (0, 0, 2), (0, 0, 1), (0, 1, 1), (0, 1, 2), (0, 2, 2), (0, 2, 1), (0, 2, 0), (0, 1, 0)]"
training,14886,9.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (0, -1, 0), (-1, -1, 0), (-1, 0, 0), (-1, 1, 0), (-1, 1, 1), (-1, 0, 1), (-1, 0, 2), (0, 0, 2), (0, 0, 1), (0, 1, 1), (0, 1, 0), (0, 2, 0), (0, 2, 1), (-1, 2, 1), (-1, 2, 0), (-1, 3, 0), (0, 3, 0)]"
training,15837,9.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (0, -1, 0), (-1, -1, 0), (-1, 0, 0), (-1, 1, 0), (-1, 1, 1), (-1, 0, 1), (0, 0, 1), (0, 1, 1), (0, 1, 0), (0, 1, -1), (0, 0, -1), (-1, 0, -1), (-1, 0, -2), (-1, 1, -2), (-1, 1, -1), (-1, 2, -1), (-1, 2, 0)]"
training,16311,9.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (0, -1, 0), (-1, -1, 0), (-1, 0, 0), (-2, 0, 0), (-2, 0, 1), (-1, 0, 1), (-1, -1, 1), (0, -1, 1), (0, 0, 1), (0, 1, 1), (0, 1, 0), (-1, 1, 0), (-1, 1, 1), (-1, 2, 1), (-1, 2, 0), (-2, 2, 0), (-2, 1, 0)]"
training,18177,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -1, 2), (0, 0, 2), (0, 0, 1), (0, 1, 1), (0, 1, 0), (-1, 1, 0), (-1, 2, 0), (-1, 2, -1), (-1, 1, -1), (-1, 0, -1), (-1, 0, 0)]"
training,20120,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (0, -1, 1), (-1, -1, 1), (-1, 0, 1), (-1, 0, 2), (0, 0, 2), (0, 0, 1), (0, 1, 1), (-1, 1, 1), (-1, 1, 0), (0, 1, 0), (0, 1, -1), (-1, 1, -1), (-1, 0, -1), (-1, 0, 0)]"
training,21884,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (2, -1, 0), (2, -2, 0), (1, -2, 0), (0, -2, 0), (0, -2, 1), (0, -1, 1), (0, -1, 2), (1, -1, 2), (1, -1, 1), (1, 0, 1), (0, 0, 1), (-1, 0, 1), (-1, -1, 1), (-1, -2, 1), (-1, -2, 0), (-1, -1, 0), (0, -1, 0)]"
training,21998,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (0, -1, 0), (-1, -1, 0), (-1, 0, 0), (-1, 0, 1), (-1, -1, 1), (0, -1, 1), (0, -1, 2), (1, -1, 2), (1, -1, 1), (1, 0, 1), (0, 0, 1), (0, 1, 1), (1, 1, 1), (1, 1, 0), (0, 1, 0), (-1, 1, 0), (-1, 1, 1)]"
training,22152,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (0, -1, 1), (-1, -1, 1), (-1, 0, 1), (-1, 0, 2), (0, 0, 2), (0, 0, 1), (1, 0, 1), (1, -1, 1), (2, -1, 1), (2, 0, 1), (2, 0, 0), (2, -1, 0), (2, -2, 0), (2, -2, 1)]"
training,22773,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -2, 1), (1, -2, 1), (1, -1, 1), (1, 0, 1), (0, 0, 1), (0, 1, 1), (1, 1, 1), (1, 1, 0), (0, 1, 0), (0, 1, -1), (0, 0, -1)]"
training,22781,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -1, 2), (1, -1, 2), (1, -1, 1), (1, 0, 1), (0, 0, 1), (0, 1, 1), (0, 1, 0), (-1, 1, 0), (-1, 0, 0), (-1, 0, -1), (-1, -1, -1)]"
training,22794,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (0, -1, 1), (-1, -1, 1), (-1, 0, 1), (-1, 1, 1), (0, 1, 1), (0, 0, 1), (1, 0, 1), (1, -1, 1), (2, -1, 1), (2, 0, 1), (2, 0, 0), (2, -1, 0), (2, -2, 0), (2, -2, 1)]"
training,22833,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -2, 1), (1, -2, 1), (1, -1, 1), (1, -1, 2), (1, 0, 2), (1, 0, 1), (1, 1, 1), (1, 1, 0), (0, 1, 0), (0, 1, 1), (0, 0, 1)]"
training,23198,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -1, 2), (1, -1, 2), (1, -1, 1), (1, 0, 1), (0, 0, 1), (0, 1, 1), (0, 1, 0), (-1, 1, 0), (-1, 0, 0), (-1, 0, 1), (-1, 1, 1)]"
training,23751,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (0, -1, 0), (-1, -1, 0), (-1, 0, 0), (-1, 0, 1), (-1, -1, 1), (0, -1, 1), (0, -1, 2), (1, -1, 2), (1, -1, 1), (1, 0, 1), (0, 0, 1), (0, 1, 1), (0, 2, 1), (0, 2, 0), (0, 1, 0), (-1, 1, 0), (-1, 1, 1)]"
training,24005,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -1, 2), (0, 0, 2), (0, 0, 1), (0, 1, 1), (0, 1, 0), (-1, 1, 0), (-1, 1, 1), (-1, 0, 1), (-1, 0, 0), (-1, 0, -1), (-1, -1, -1)]"
training,24901,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -1, 2), (1, -1, 2), (1, -1, 1), (1, 0, 1), (0, 0, 1), (0, 1, 1), (0, 2, 1), (0, 2, 0), (0, 1, 0), (1, 1, 0), (1, 1, 1)]"
training,25268,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -2, 1), (1, -2, 1), (1, -1, 1), (1, 0, 1), (0, 0, 1), (0, 1, 1), (0, 1, 0), (-1, 1, 0), (-1, 0, 0), (-1, 0, 1), (-1, 1, 1)]"
training,25772,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (0, -1, 1), (-1, -1, 1), (-1, 0, 1), (-2, 0, 1), (-2, 1, 1), (-1, 1, 1), (0, 1, 1), (0, 0, 1), (1, 0, 1), (1, 0, 2), (1, -1, 2), (1, -1, 1), (2, -1, 1), (2, -1, 0)]"
training,26058,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -1, 2), (1, -1, 2), (1, -1, 1), (1, 0, 1), (0, 0, 1), (0, 1, 1), (0, 1, 0), (0, 1, -1), (0, 0, -1), (-1, 0, -1), (-1, 0, 0)]"
training,26612,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -1, 2), (1, -1, 2), (1, -1, 1), (1, 0, 1), (0, 0, 1), (0, 1, 1), (0, 1, 0), (-1, 1, 0), (-1, 1, 1), (-1, 0, 1), (-1, 0, 0)]"
training,26685,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -1, 2), (0, 0, 2), (0, 0, 1), (1, 0, 1), (1, -1, 1), (2, -1, 1), (2, 0, 1), (2, 0, 0), (2, -1, 0), (2, -2, 0), (2, -2, 1)]"
training,26722,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -1, 2), (1, -1, 2), (1, -1, 1), (1, 0, 1), (1, 1, 1), (0, 1, 1), (0, 1, 2), (0, 0, 2), (0, 0, 1), (-1, 0, 1), (-1, 0, 0)]"
training,26780,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (0, -1, 1), (0, -2, 1), (1, -2, 1), (1, -2, 2), (1, -1, 2), (1, -1, 1), (1, 0, 1), (0, 0, 1), (0, 1, 1), (0, 2, 1), (0, 2, 0), (0, 1, 0), (-1, 1, 0), (-1, 0, 0)]"
training,27740,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -2, 1), (1, -2, 1), (1, -1, 1), (1, 0, 1), (0, 0, 1), (0, 1, 1), (0, 1, 0), (0, 1, -1), (0, 0, -1), (-1, 0, -1), (-1, 0, 0)]"
training,28943,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (0, -1, 1), (-1, -1, 1), (-1, 0, 1), (-1, 1, 1), (0, 1, 1), (0, 0, 1), (1, 0, 1), (1, -1, 1), (2, -1, 1), (2, 0, 1), (2, 0, 0), (2, -1, 0), (3, -1, 0), (3, -1, 1)]"
training,29457,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -1, 2), (1, -1, 2), (1, -1, 1), (1, 0, 1), (0, 0, 1), (0, 0, 2), (-1, 0, 2), (-1, 0, 1), (-1, 0, 0), (-1, 0, -1), (0, 0, -1)]"
training,30283,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -2, 1), (1, -2, 1), (1, -1, 1), (1, 0, 1), (0, 0, 1), (0, 1, 1), (1, 1, 1), (1, 1, 0), (0, 1, 0), (-1, 1, 0), (-1, 1, 1)]"
training,30320,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -2, 1), (1, -2, 1), (1, -1, 1), (1, 0, 1), (0, 0, 1), (0, 1, 1), (0, 1, 0), (-1, 1, 0), (-1, 1, 1), (-1, 0, 1), (-1, 0, 0)]"
training,30575,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (0, -1, 1), (-1, -1, 1), (-1, 0, 1), (-1, 0, 2), (0, 0, 2), (0, 0, 1), (1, 0, 1), (1, -1, 1), (2, -1, 1), (2, 0, 1), (2, 0, 0), (2, -1, 0), (3, -1, 0), (3, -1, 1)]"
training,30635,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -1, 2), (0, 0, 2), (0, 0, 1), (0, 1, 1), (0, 1, 0), (-1, 1, 0), (-1, 1, -1), (-1, 0, -1), (-1, 0, 0), (-1, 0, 1), (-1, 1, 1)]"
training,30644,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (0, -1, 1), (0, 0, 1), (-1, 0, 1), (-1, 0, 2), (0, 0, 2), (0, -1, 2), (-1, -1, 2), (-1, -1, 1), (-1, -1, 0), (-2, -1, 0), (-2, 0, 0), (-1, 0, 0), (-1, 1, 0), (0, 1, 0)]"
training,30655,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -1, 2), (1, -1, 2), (1, -1, 1), (1, 0, 1), (0, 0, 1), (0, 1, 1), (-1, 1, 1), (-1, 1, 0), (0, 1, 0), (0, 1, -1), (0, 0, -1)]"
training,30679,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (1, -1, 1), (1, 0, 1), (0, 0, 1), (0, 1, 1), (0, 1, 0), (-1, 1, 0), (-1, 1, 1), (-1, 0, 1), (-1, 0, 0), (-1, 0, -1), (-1, -1, -1)]"
training,30686,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -1, 2), (1, -1, 2), (1, -1, 1), (1, 0, 1), (0, 0, 1), (0, 1, 1), (0, 2, 1), (0, 2, 0), (0, 1, 0), (-1, 1, 0), (-1, 1, 1)]"
training,30706,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -1, 2), (0, 0, 2), (0, 0, 1), (-1, 0, 1), (-1, 0, 0), (-1, 0, -1), (0, 0, -1), (0, -1, -1), (-1, -1, -1), (-1, -2, -1), (-1, -2, 0)]"
training,30737,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -1, 2), (1, -1, 2), (1, -1, 1), (1, 0, 1), (0, 0, 1), (0, 1, 1), (1, 1, 1), (1, 1, 0), (0, 1, 0), (0, 1, -1), (0, 0, -1)]"
training,31012,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (0, -1, 1), (0, -1, 2), (1, -1, 2), (1, 0, 2), (0, 0, 2), (0, 0, 1), (1, 0, 1), (1, -1, 1), (2, -1, 1), (2, 0, 1), (2, 0, 0), (2, -1, 0), (3, -1, 0), (3, -1, 1)]"
training,31027,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (0, -1, 1), (0, -1, 2), (1, -1, 2), (1, 0, 2), (0, 0, 2), (0, 0, 1), (1, 0, 1), (1, -1, 1), (2, -1, 1), (3, -1, 1), (3, 0, 1), (2, 0, 1), (2, 0, 0), (2, -1, 0)]"
training,31371,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -1, 2), (0, 0, 2), (0, 0, 1), (1, 0, 1), (1, -1, 1), (2, -1, 1), (2, 0, 1), (2, 0, 0), (2, -1, 0), (3, -1, 0), (3, -1, 1)]"
training,31629,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -1, 2), (1, -1, 2), (1, -2, 2), (1, -2, 1), (1, -1, 1), (1, 0, 1), (1, 1, 1), (0, 1, 1), (0, 0, 1), (-1, 0, 1), (-1, 0, 0)]"
training,31721,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -2, 1), (1, -2, 1), (1, -1, 1), (1, 0, 1), (0, 0, 1), (0, 1, 1), (0, 2, 1), (0, 2, 0), (0, 1, 0), (-1, 1, 0), (-1, 1, 1)]"
training,31780,10.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (0, -1, 1), (0, -2, 1), (1, -2, 1), (2, -2, 1), (2, -1, 1), (1, -1, 1), (1, 0, 1), (0, 0, 1), (0, 1, 1), (1, 1, 1), (1, 1, 0), (0, 1, 0), (0, 1, -1), (0, 0, -1)]"
training,32187,11.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -1, 2), (1, -1, 2), (1, -1, 1), (1, 0, 1), (0, 0, 1), (-1, 0, 1), (-1, 1, 1), (-1, 1, 0), (-1, 0, 0), (-1, 0, -1), (-1, -1, -1)]"
training,32799,11.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -1, 2), (1, -1, 2), (1, -1, 1), (1, 0, 1), (0, 0, 1), (-1, 0, 1), (-2, 0, 1), (-2, 0, 0), (-1, 0, 0), (-1, 1, 0), (0, 1, 0)]"
training,33206,11.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -1, 2), (1, -1, 2), (1, -1, 1), (1, 0, 1), (0, 0, 1), (-1, 0, 1), (-1, 1, 1), (-1, 1, 0), (-1, 0, 0), (-2, 0, 0), (-2, 0, 1)]"
training,33524,11.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -1, 2), (1, -1, 2), (1, -1, 1), (1, 0, 1), (0, 0, 1), (0, 1, 1), (-1, 1, 1), (-1, 0, 1), (-1, 0, 0), (-1, 1, 0), (0, 1, 0)]"
training,33717,11.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -1, 2), (1, -1, 2), (1, -1, 1), (1, 0, 1), (0, 0, 1), (0, 1, 1), (1, 1, 1), (1, 1, 0), (0, 1, 0), (-1, 1, 0), (-1, 0, 0)]"
training,33987,11.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -1, 2), (1, -1, 2), (1, -1, 1), (2, -1, 1), (2, 0, 1), (1, 0, 1), (1, 1, 1), (0, 1, 1), (0, 0, 1), (-1, 0, 1), (-1, 0, 0)]"
training,33999,11.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -1, 2), (1, -1, 2), (1, -1, 1), (1, 0, 1), (0, 0, 1), (-1, 0, 1), (-2, 0, 1), (-2, -1, 1), (-2, -1, 0), (-2, 0, 0), (-1, 0, 0)]"
training,34275,11.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -1, 2), (1, -1, 2), (1, -1, 1), (1, 0, 1), (0, 0, 1), (0, 1, 1), (0, 2, 1), (0, 2, 0), (0, 1, 0), (-1, 1, 0), (-1, 0, 0)]"
training,34281,11.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (0, -1, 1), (0, -2, 1), (1, -2, 1), (1, -1, 1), (1, 0, 1), (0, 0, 1), (0, 1, 1), (1, 1, 1), (1, 1, 0), (0, 1, 0), (-1, 1, 0), (-1, 0, 0)]"
