phase,episode,reward,positions
training,1,2.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (2, -2, 0), (2, -3, 0), (1, -3, 0), (0, -3, 0), (0, -3, 1), (0, -2, 1), (0, -2, 2), (0, -3, 2), (1, -3, 2), (2, -3, 2), (2, -3, 3), (3, -3, 3), (3, -2, 3), (2, -2, 3), (2, -2, 2), (2, -1, 2)]"
training,6,2.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (2, -2, 0), (2, -3, 0), (3, -3, 0), (4, -3, 0), (4, -3, 1), (3, -3, 1), (3, -3, 2), (3, -2, 2), (3, -1, 2), (2, -1, 2), (1, -1, 2), (0, -1, 2), (0, -1, 1), (1, -1, 1), (1, 0, 1), (1, 1, 1)]"
training,7,2.0,"[(0, 0, 0), (1, 0, 0), (2, 0, 0), (2, -1, 0), (3, -1, 0), (3, 0, 0), (3, 1, 0), (4, 1, 0), (4, 2, 0), (4, 3, 0), (5, 3, 0), (5, 2, 0), (5, 1, 0), (5, 1, 1), (6, 1, 1), (6, 0, 1), (6, -1, 1), (5, -1, 1), (5, -2, 1), (5, -2, 2)]"
training,9,5.0,"[(0, 0, 0), (1, 0, 0), (2, 0, 0), (2, -1, 0), (3, -1, 0), (3, 0, 0), (3, 0, 1), (3, 1, 1), (4, 1, 1), (4, 2, 1), (5, 2, 1), (5, 1, 1), (5, 1, 2), (6, 1, 2), (6, 1, 1), (6, 1, 0), (7, 1, 0), (7, 1, 1), (7, 0, 1), (6, 0, 1)]"
training,135,5.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (0, -1, 0), (0, -2, 0), (0, -2, 1), (0, -1, 1), (1, -1, 1), (2, -1, 1), (3, -1, 1), (3, -1, 0), (3, 0, 0), (2, 0, 0), (2, -1, 0), (2, -1, -1), (2, -1, -2), (1, -1, -2), (1, -1, -1), (1, 0, -1), (2, 0, -1)]"
training,149,5.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -3, 0), (1, -3, 0), (1, -4, 0), (1, -4, 1), (1, -4, 2), (1, -3, 2), (1, -3, 1), (0, -3, 1), (0, -3, 2), (0, -2, 2), (1, -2, 2), (1, -1, 2), (1, -1, 1), (0, -1, 1), (0, -1, 0)]"
training,366,6.0,"[(0, 0, 0), (1, 0, 0), (2, 0, 0), (2, -1, 0), (3, -1, 0), (3, 0, 0), (4, 0, 0), (5, 0, 0), (6, 0, 0), (6, -1, 0), (5, -1, 0), (4, -1, 0), (4, -1, 1), (3, -1, 1), (3, 0, 1), (3, 0, 2), (2, 0, 2), (2, 0, 1), (1, 0, 1), (0, 0, 1)]"
training,392,6.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (0, -1, 0), (0, -2, 0), (1, -2, 0), (1, -3, 0), (1, -3, 1), (1, -2, 1), (2, -2, 1), (2, -3, 1), (2, -3, 0), (2, -3, -1), (1, -3, -1), (1, -2, -1), (1, -1, -1), (1, -1, -2), (0, -1, -2), (0, -1, -1), (0, 0, -1)]"
training,781,7.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (0, -1, 0), (0, -2, 0), (1, -2, 0), (1, -2, 1), (1, -2, 2), (1, -1, 2), (2, -1, 2), (2, -1, 1), (1, -1, 1), (1, 0, 1), (0, 0, 1), (0, -1, 1), (-1, -1, 1), (-1, 0, 1), (-1, 0, 0), (-1, 0, -1), (-1, 0, -2)]"
training,2254,7.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (2, -1, 0), (2, -2, 0), (2, -2, 1), (2, -2, 2), (3, -2, 2), (3, -3, 2), (4, -3, 2), (4, -3, 1), (3, -3, 1), (3, -3, 0), (2, -3, 0), (2, -3, 1), (2, -4, 1), (2, -4, 2), (2, -3, 2), (2, -3, 3), (2, -2, 3)]"
training,2963,7.0,"[(0, 0, 0), (1, 0, 0), (2, 0, 0), (3, 0, 0), (3, -1, 0), (2, -1, 0), (1, -1, 0), (1, -2, 0), (1, -2, 1), (0, -2, 1), (0, -2, 0), (0, -1, 0), (0, -1, 1), (1, -1, 1), (2, -1, 1), (2, -2, 1), (2, -3, 1), (1, -3, 1), (0, -3, 1), (0, -3, 0)]"
training,4995,8.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (0, -1, 0), (0, -1, 1), (0, 0, 1), (-1, 0, 1), (-1, 1, 1), (-2, 1, 1), (-2, 0, 1), (-2, 0, 2), (-1, 0, 2), (-1, 0, 3), (-1, -1, 3), (-1, -1, 2), (-1, -1, 1), (-1, -1, 0), (-1, 0, 0)]"
training,9972,8.0,"[(0, 0, 0), (1, 0, 0), (2, 0, 0), (2, -1, 0), (1, -1, 0), (0, -1, 0), (-1, -1, 0), (-1, -1, 1), (-1, 0, 1), (-2, 0, 1), (-2, 0, 0), (-1, 0, 0), (-1, 1, 0), (-1, 1, 1), (0, 1, 1), (0, 1, 2), (0, 0, 2), (0, 0, 1), (1, 0, 1), (1, 0, 2)]"
training,10482,8.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (0, -1, 0), (0, -2, 0), (1, -2, 0), (2, -2, 0), (2, -2, 1), (2, -1, 1), (3, -1, 1), (3, -1, 0), (2, -1, 0), (2, 0, 0), (2, 0, 1), (2, 0, 2), (2, -1, 2), (1, -1, 2), (1, -1, 1), (1, 0, 1), (0, 0, 1)]"
