2024-12-26 22:07:16,522 - INFO - Episode 1/400000, Reward: 4.0, Loss: 0.0000, Epsilon: 1.000, end at: 48, eps/sec: 3.25, ETR: 2052.41 min
2024-12-26 22:07:30,451 - INFO - Episode 101/400000, Reward: 7.0, Loss: 0.0047, Epsilon: 0.999, end at: 48, eps/sec: 7.10, ETR: 939.28 min
2024-12-26 22:07:37,238 - INFO - Episode 201/400000, Reward: 4.0, Loss: 0.0138, Epsilon: 0.998, end at: 48, eps/sec: 9.56, ETR: 696.92 min
2024-12-26 22:07:43,927 - INFO - Episode 301/400000, Reward: 4.0, Loss: 0.0104, Epsilon: 0.997, end at: 48, eps/sec: 10.86, ETR: 613.32 min
2024-12-26 22:07:50,928 - INFO - Episode 401/400000, Reward: 2.0, Loss: 0.0116, Epsilon: 0.996, end at: 48, eps/sec: 11.55, ETR: 576.53 min
2024-12-26 22:07:58,659 - INFO - Episode 501/400000, Reward: 3.0, Loss: 0.0045, Epsilon: 0.995, end at: 48, eps/sec: 11.80, ETR: 564.04 min
2024-12-26 22:08:05,428 - INFO - Episode 601/400000, Reward: 4.0, Loss: 0.0064, Epsilon: 0.994, end at: 48, eps/sec: 12.21, ETR: 545.08 min
2024-12-26 22:08:12,090 - INFO - Episode 701/400000, Reward: 3.0, Loss: 0.0021, Epsilon: 0.993, end at: 48, eps/sec: 12.55, ETR: 530.45 min
2024-12-26 22:08:18,803 - INFO - Episode 801/400000, Reward: 3.0, Loss: 0.0031, Epsilon: 0.992, end at: 48, eps/sec: 12.80, ETR: 519.86 min
2024-12-26 22:08:25,654 - INFO - Episode 901/400000, Reward: 3.0, Loss: 0.0012, Epsilon: 0.991, end at: 48, eps/sec: 12.98, ETR: 512.63 min
2024-12-26 22:08:33,439 - INFO - Episode 1001/400000, Reward: 3.0, Loss: 0.0011, Epsilon: 0.990, end at: 48, eps/sec: 12.97, ETR: 512.89 min
2024-12-26 22:08:40,180 - INFO - Episode 1101/400000, Reward: 4.0, Loss: 0.0014, Epsilon: 0.989, end at: 48, eps/sec: 13.11, ETR: 507.01 min
2024-12-26 22:08:46,965 - INFO - Episode 1201/400000, Reward: 11.0, Loss: 0.0012, Epsilon: 0.988, end at: 48, eps/sec: 13.24, ETR: 502.20 min
2024-12-26 22:08:53,821 - INFO - Episode 1301/400000, Reward: 2.0, Loss: 0.0017, Epsilon: 0.987, end at: 48, eps/sec: 13.33, ETR: 498.54 min
2024-12-26 22:09:00,667 - INFO - Episode 1401/400000, Reward: 2.0, Loss: 0.0017, Epsilon: 0.986, end at: 48, eps/sec: 13.41, ETR: 495.29 min
2024-12-26 22:09:07,570 - INFO - Episode 1501/400000, Reward: 2.0, Loss: 0.0017, Epsilon: 0.985, end at: 48, eps/sec: 13.48, ETR: 492.73 min
2024-12-26 22:09:14,427 - INFO - Episode 1601/400000, Reward: 6.0, Loss: 0.0017, Epsilon: 0.984, end at: 48, eps/sec: 13.54, ETR: 490.27 min
2024-12-26 22:09:21,473 - INFO - Episode 1701/400000, Reward: 5.0, Loss: 0.0034, Epsilon: 0.983, end at: 48, eps/sec: 13.58, ETR: 488.83 min
2024-12-26 22:09:28,350 - INFO - Episode 1801/400000, Reward: 5.0, Loss: 0.0015, Epsilon: 0.982, end at: 48, eps/sec: 13.63, ETR: 486.92 min
2024-12-26 22:09:35,180 - INFO - Episode 1901/400000, Reward: 4.0, Loss: 0.0014, Epsilon: 0.981, end at: 48, eps/sec: 13.68, ETR: 485.02 min
2024-12-26 22:09:42,109 - INFO - Episode 2001/400000, Reward: 2.0, Loss: 0.0016, Epsilon: 0.980, end at: 48, eps/sec: 13.72, ETR: 483.63 min
2024-12-26 22:09:49,055 - INFO - Episode 2101/400000, Reward: 4.0, Loss: 0.0021, Epsilon: 0.979, end at: 48, eps/sec: 13.75, ETR: 482.43 min
2024-12-26 22:09:55,943 - INFO - Episode 2201/400000, Reward: 4.0, Loss: 0.0015, Epsilon: 0.978, end at: 48, eps/sec: 13.78, ETR: 481.14 min
2024-12-26 22:10:02,852 - INFO - Episode 2301/400000, Reward: 1.0, Loss: 0.0014, Epsilon: 0.977, end at: 48, eps/sec: 13.81, ETR: 480.01 min
2024-12-26 22:10:09,906 - INFO - Episode 2401/400000, Reward: 3.0, Loss: 0.0013, Epsilon: 0.976, end at: 48, eps/sec: 13.82, ETR: 479.38 min
2024-12-26 22:10:16,878 - INFO - Episode 2501/400000, Reward: 2.0, Loss: 0.0023, Epsilon: 0.975, end at: 48, eps/sec: 13.84, ETR: 478.55 min
2024-12-26 22:10:24,724 - INFO - Episode 2601/400000, Reward: 2.0, Loss: 0.0015, Epsilon: 0.974, end at: 48, eps/sec: 13.80, ETR: 480.02 min
2024-12-26 22:10:31,721 - INFO - Episode 2701/400000, Reward: 1.0, Loss: 0.0021, Epsilon: 0.973, end at: 48, eps/sec: 13.82, ETR: 479.29 min
2024-12-26 22:10:38,743 - INFO - Episode 2801/400000, Reward: 1.0, Loss: 0.0017, Epsilon: 0.972, end at: 48, eps/sec: 13.83, ETR: 478.66 min
2024-12-26 22:10:45,692 - INFO - Episode 2901/400000, Reward: 1.0, Loss: 0.0011, Epsilon: 0.971, end at: 48, eps/sec: 13.85, ETR: 477.89 min
2024-12-26 22:10:52,757 - INFO - Episode 3001/400000, Reward: 3.0, Loss: 0.0014, Epsilon: 0.970, end at: 48, eps/sec: 13.86, ETR: 477.44 min
2024-12-26 22:10:59,767 - INFO - Episode 3101/400000, Reward: 5.0, Loss: 0.0014, Epsilon: 0.970, end at: 48, eps/sec: 13.87, ETR: 476.88 min
2024-12-26 22:11:06,870 - INFO - Episode 3201/400000, Reward: 0.0, Loss: 0.0011, Epsilon: 0.969, end at: 48, eps/sec: 13.88, ETR: 476.53 min
2024-12-26 22:11:13,924 - INFO - Episode 3301/400000, Reward: 2.0, Loss: 0.0014, Epsilon: 0.968, end at: 48, eps/sec: 13.89, ETR: 476.11 min
2024-12-26 22:11:21,025 - INFO - Episode 3401/400000, Reward: 5.0, Loss: 0.0013, Epsilon: 0.967, end at: 48, eps/sec: 13.89, ETR: 475.80 min
2024-12-26 22:11:28,005 - INFO - Episode 3501/400000, Reward: 2.0, Loss: 0.0016, Epsilon: 0.966, end at: 48, eps/sec: 13.90, ETR: 475.27 min
2024-12-26 22:11:35,009 - INFO - Episode 3601/400000, Reward: 3.0, Loss: 0.0013, Epsilon: 0.965, end at: 48, eps/sec: 13.91, ETR: 474.80 min
2024-12-26 22:11:42,134 - INFO - Episode 3701/400000, Reward: 0.0, Loss: 0.0073, Epsilon: 0.964, end at: 48, eps/sec: 13.92, ETR: 474.57 min
2024-12-26 22:11:49,091 - INFO - Episode 3801/400000, Reward: 0.0, Loss: 0.0013, Epsilon: 0.963, end at: 48, eps/sec: 13.93, ETR: 474.06 min
2024-12-26 22:11:56,073 - INFO - Episode 3901/400000, Reward: 5.0, Loss: 0.0015, Epsilon: 0.962, end at: 48, eps/sec: 13.94, ETR: 473.60 min
2024-12-26 22:12:03,262 - INFO - Episode 4001/400000, Reward: 6.0, Loss: 0.0016, Epsilon: 0.961, end at: 48, eps/sec: 13.94, ETR: 473.50 min
2024-12-26 22:12:10,291 - INFO - Episode 4101/400000, Reward: 4.0, Loss: 0.0012, Epsilon: 0.960, end at: 48, eps/sec: 13.95, ETR: 473.16 min
2024-12-26 22:12:17,345 - INFO - Episode 4201/400000, Reward: 5.0, Loss: 0.0009, Epsilon: 0.959, end at: 48, eps/sec: 13.95, ETR: 472.85 min
2024-12-26 22:12:24,569 - INFO - Episode 4301/400000, Reward: 2.0, Loss: 0.0014, Epsilon: 0.958, end at: 48, eps/sec: 13.95, ETR: 472.82 min
2024-12-26 22:12:31,791 - INFO - Episode 4401/400000, Reward: 6.0, Loss: 0.0019, Epsilon: 0.957, end at: 48, eps/sec: 13.95, ETR: 472.73 min
2024-12-26 22:12:38,907 - INFO - Episode 4501/400000, Reward: 1.0, Loss: 0.0033, Epsilon: 0.956, end at: 48, eps/sec: 13.95, ETR: 472.58 min
2024-12-26 22:12:46,071 - INFO - Episode 4601/400000, Reward: 3.0, Loss: 0.0016, Epsilon: 0.955, end at: 48, eps/sec: 13.95, ETR: 472.45 min
2024-12-26 22:12:53,154 - INFO - Episode 4701/400000, Reward: 4.0, Loss: 0.0011, Epsilon: 0.954, end at: 48, eps/sec: 13.95, ETR: 472.21 min
2024-12-26 22:13:00,321 - INFO - Episode 4801/400000, Reward: 2.0, Loss: 0.0012, Epsilon: 0.953, end at: 48, eps/sec: 13.95, ETR: 472.09 min
